Recipe names:
enderutilities:tool_workstation - 1xtile.null@1
actuallybaubles:bauble_to_potion_ring_8 - 1xitem.actuallyadditions.item_potion_ring_advanced@8
enderio:ender_dust - 1xitem.techreborn.dust@20
actuallybaubles:bauble_to_potion_ring_7 - 1xitem.actuallyadditions.item_potion_ring_advanced@7
actuallybaubles:bauble_to_potion_ring_6 - 1xitem.actuallyadditions.item_potion_ring_advanced@6
botania:pylon_0 - 1xtile.pylon@0
actuallybaubles:bauble_to_potion_ring_5 - 1xitem.actuallyadditions.item_potion_ring_advanced@5
actuallybaubles:bauble_to_potion_ring_4 - 1xitem.actuallyadditions.item_potion_ring_advanced@4
actuallybaubles:bauble_to_potion_ring_3 - 1xitem.actuallyadditions.item_potion_ring_advanced@3
jaopca:block_slabtitanium_gt57py - 6xtile.jaopca.slab@0
actuallybaubles:bauble_to_potion_ring_2 - 1xitem.actuallyadditions.item_potion_ring_advanced@2
actuallybaubles:bauble_to_potion_ring_1 - 1xitem.actuallyadditions.item_potion_ring_advanced@1
actuallybaubles:bauble_to_potion_ring_0 - 1xitem.actuallyadditions.item_potion_ring_advanced@0
nuclearcraft:item.lava_leggings - 1xitem.lava_leggings@0
forestry:alveary_stabiliser - 1xtile.for.alveary.stabiliser@0
botany:acid_fertiliser_moisturedamp_ph1_typesoil_strength1 - 4xbotany.soil.soil@2
storagedrawersextra:extra_drawers_fulldrawers2_forestry_padauk - 2xtile.extraDrawers@1
conarm:armorforge_blockalumite - 1xtile.conarm.armorforge@0
tp:redstone_boots - 1xitem.redstone_boots@0
botania:wands/twigwand_black_green - 1xitem.twigWand@0
enderio:auto_coloring_fused_quartz_with_light_blue - 8xtile.block_fused_quartz@3
enderio:the_enhanced_vat_upgrade - 1xtile.block_enhanced_vat@0
ironchest:shulker/white/copper/vanilla_copper_shulker_box - 1xtile.IronShulkerBoxwhite@3
bloodmagic:teleposer - 1xtile.bloodmagic.teleposer@0
appliedenergistics2:decorative/stairs_chiseled_quartz - 4xtile.appliedenergistics2.chiseled_quartz_stairs@0
thaumic_arcana:slime_infuse_motus - 1xitem.thaumic_arcana.infused_slime@3
fluxnetworks:tile.fluxnetworks.herculeanfluxstorage - 1xtile.fluxnetworks.herculeanfluxstorage@0
magicbees:fertilizer3 - 12xitem.for.fertilizer_compound@0
nuclearcraft:item.item_dark_steel_boots_2 - 1xitem.item_dark_steel_boots@0
magicbees:fertilizer2 - 6xitem.for.fertilizer_compound@0
nuclearcraft:item.item_dark_steel_boots_3 - 1xitem.item_dark_steel_boots@0
magicbees:fertilizer1 - 6xitem.for.fertilizer_compound@0
nuclearcraft:item.item_dark_steel_boots_1 - 1xitem.item_dark_steel_boots@0
botania:grassseeds_5 - 1xitem.grassSeeds@5
botania:grassseeds_6 - 1xitem.grassSeeds@6
botania:biomestonea3slab_0 - 6xtile.biomeStoneA3Slab@0
plethora:module_glasses - 1xitem.plethora.module@6
teslathingies:animal_age_filter_adult - 1xitem.teslathingies.animal_age_filter_adult@0
botania:grassseeds_3 - 1xitem.grassSeeds@3
botania:grassseeds_4 - 1xitem.grassSeeds@4
botania:grassseeds_7 - 1xitem.grassSeeds@7
botania:grassseeds_8 - 1xitem.grassSeeds@8
darkutils:filter_arthropod - 4xtile.darkutils.filter@2
cyclicmagic:item.inventory_food - 1xitem.inventory_food@0
jaopca:block_stairsrefinediron_nmpzbm - 8xtile.jaopca.stairs@0
bibliocraft:oak_furniturepaneler - 1xtile.BiblioCraft:FurniturePaneler@0
nuclearcraft:item.combatmaidchestdarkened - 1xitem.combatmaidchestdarkened@0
integrateddynamics:part_clear - 1xparttype.parttypes.integrateddynamics.redstone_reader.name@0
nuclearcraft:item.lava_boots - 1xitem.lava_boots@0
opencomputers:wrench59 - 1xitem.oc.wrench@0
botania:wands/twigwand_lightblue_gray - 1xitem.twigWand@0
nuclearcraft:item.item_dark_steel_boots_4 - 1xitem.item_dark_steel_boots@0
storagedrawers:basicdrawers_fulldrawers2_acacia - 2xtile.storagedrawers.basicDrawers@1
nuclearcraft:item.item_dark_steel_boots_5 - 1xitem.item_dark_steel_boots@0
minecraft:arrow - 4xitem.arrow@0
draconicevolution:energy_crystal - 4xtile.draconicevolution:energy_crystal@0
vanillatools:tool.excavator_iron - 1xitem.vanillaplus.tool.ironExcavator@0
pneumaticcraft:charging_module - 1xitem.charging_module@0
forestry:fireproof_fences_lime - 3xtile.for.fences.fireproof.0@3
botania:quartzslabdarkhalf_0 - 6xtile.quartzSlabDarkHalf@0
forestry:fireproof_planks_willow - 4xtile.for.planks.fireproof.0@12
storagedrawersextra:extra_drawers_fulldrawers4_forestry_lime - 4xtile.extraDrawers@2
extratrees:eucalyptus_doors - 3xtile.doors.eucalyptus@0
minecraft:fence - 3xtile.fence@0
forestry:fireproof_doors_dark_oak - 3xitem.doorDarkOak@0
nuclearcraft:item.item_dark_steel_leggings - 1xitem.item_dark_steel_leggings@0
enderio:enhanced_alloy_smelter - 1xtile.block_enhanced_alloy_smelter@0
jaopca:block_stairsconstantan_n4sx94 - 8xtile.jaopca.stairs@0
industrialforegoing:ore_fermenter_enderio - 1xtile.industrialforegoing.ore_fermenter@0
aiotbotania:woodsword - 1xitem.livingwoodSword@0
environmentaltech:m_resources/erodium/tiles/tiles_to_normal - 1xtile.environmentaltech.erodium@0
yoyos:hoe_yoyo - 1xitem.yoyos.hoe_yoyo@0
minecraft:green_wool - 1xtile.cloth@13
nuclearcraft:item.tcomplement.knightslime_chestplate_2 - 1xitem.tcomplement.knightslime_chestplate@0
nuclearcraft:item.tcomplement.knightslime_chestplate_1 - 1xitem.tcomplement.knightslime_chestplate@0
nuclearcraft:item.actuallyadditions.item_chest_crystal_red_1 - 1xitem.actuallyadditions.item_chest_crystal_red@0
thermalfoundation:tool.axe_steel - 1xitem.thermalfoundation.tool.steelAxe@0
stevescarts:upgrade/industrial_espionage - 1xtile.SC2:upgrade@3
rftools:invchecker_block - 1xtile.rftools.invchecker_block@0
deepmoblearning:data_model/data_model_ghast - 1xitem.deepmoblearning.data_model_ghast@0
nuclearcraft:item.actuallyadditions.item_chest_crystal_red_2 - 1xitem.actuallyadditions.item_chest_crystal_red@0
jaopca:item_mysticalseedscarobbiite_atpuk0 - 1xitem.jaopca.mysticalSeeds@0
bloodmagic:ritual_controller_imperfect - 1xtile.bloodmagic.stone.ritual.@1
enderutilities:ender_porter_basic - 1xitem.enderutilities.enderporter@0
bloodmagic:demon_decor/demon_light_steadfast - 5xtile.bloodmagic.demonlight.@4
environmentaltech:m_resources/aethium/bricks/bricks_to_normal - 1xtile.environmentaltech.aethium@0
minecraft:fireworks - 2xtile.air@15
thermaldynamics:duct_32_6 - 1xtile.thermaldynamics.duct@6
appliedenergistics2:materials/cardcapacity - 1xitem.appliedenergistics2.material@27
thermaldynamics:duct_32_7 - 1xtile.thermaldynamics.duct@7
thermaldynamics:duct_32_8 - 3xtile.thermaldynamics.duct@6
thermaldynamics:duct_32_9 - 3xtile.thermaldynamics.duct@7
thermaldynamics:duct_32_2 - 1xtile.thermaldynamics.duct@4
nuclearcraft:item.techreborn.cloakingdevice_2 - 1xitem.techreborn.cloakingdevice@0
mysticalagriculture:ingotmithril - 3xitem.thermalfoundation.material@136
thermaldynamics:duct_32_3 - 1xtile.thermaldynamics.duct@5
nuclearcraft:item.techreborn.cloakingdevice_3 - 1xitem.techreborn.cloakingdevice@0
thermaldynamics:duct_32_4 - 3xtile.thermaldynamics.duct@4
thermaldynamics:duct_32_5 - 3xtile.thermaldynamics.duct@5
nuclearcraft:item.techreborn.cloakingdevice_1 - 1xitem.techreborn.cloakingdevice@0
ironchest:shulker/white/iron/vanilla_iron_shulker_box - 1xtile.IronShulkerBoxwhite@0
nuclearcraft:item.techreborn.cloakingdevice_4 - 1xitem.techreborn.cloakingdevice@0
darkutils:soulsand - 5xtile.hellsand@0
thermaldynamics:duct_32_1 - 6xtile.thermaldynamics.duct@1
nuclearcraft:item.techreborn.cloakingdevice_5 - 1xitem.techreborn.cloakingdevice@0
jaopca:dust_5lzi38 - 9xitem.techreborn.dust@50
industrialforegoing:fluiddictionary_converter - 1xtile.industrialforegoing.fluiddictionary_converter@0
extrabees:silver_dust_dust - 1xitem.techreborn.dust@47
embers:large_tank - 1xtile.large_tank@0
botany:clay_slategray - 1xitem.botany.clay@68
tconstruct:tools/forge/blockvibrantalloy - 1xtile.tconstruct.toolforge@0
nuclearcraft:item.naturalpledge:sunmaker_boots - 1xitem.sunmaker_boots@0
thermalfoundation:tool.hammer_platinum - 1xitem.thermalfoundation.tool.platinumHammer@0
tp:redstone_chestplate - 1xitem.redstone_chestplate@0
nuclearcraft:item.manasteelboots - 1xitem.manasteelBoots@0
jaopca:item_mysticalseedscrystalmatrix_u4h41b - 1xitem.jaopca.mysticalSeeds@0
nuclearcraft:item.simplyjetpacks.fluxpack_te3_armored_2 - 1xitem.simplyjetpacks.itemFluxpack@10
thermalfoundation:tool.sickle_gold - 1xitem.thermalfoundation.tool.goldSickle@0
nuclearcraft:item.simplyjetpacks.fluxpack_te3_armored_1 - 1xitem.simplyjetpacks.itemFluxpack@10
bloodmagic:demon_decor/demon_brick_2_tilespecial_corrosive - 9xtile.bloodmagic.bricks2.@11
embers:ingotnickel_plate - 1xitem.plate_nickel@0
tp:stone_boots - 1xitem.stone_boots@0
bewitchment:yew_planks - 4xtile.bewitchment.yew_planks@0
magneticraft:electric_chainsaw_normal - 1xitem.magneticraft.electric_chainsaw@0
botania:wands/twigwand_red_orange - 1xitem.twigWand@0
botania:wands/twigwand_purple_brown - 1xitem.twigWand@0
botania:wands/twigwand_magenta_silver - 1xitem.twigWand@0
soot:insulation - 1xtile.insulation@0
xreliquary:items/uncrafting/ink_sac - 6xitem.dyePowder@0
techreborn:diamonddrill - 1xitem.techreborn.diamondDrill@0
malisisdoors:trapdoor_dark_oak - 1xtile.trapdoor_dark_oak@0
mysticalagriculture:emerald - 1xitem.emerald@0
enderutilities:living_manipulator - 1xitem.enderutilities.livingmanipulator@0
bibliocraft:green_dyed_lampiron - 1xtile.BiblioCraft:LampIron@8
rpsideas:battlecaster - 1xitem.battlecaster@0
thaumcraft:tubefilter - 1xtile.tube_filter@0
enderutilities:drawbridge_advanced - 1xtile.null@1
crafttweaker:thermalfoundation-tool.bow_aluminum-modified - 1xitem.thermalfoundation.tool.aluminumBow@0
mekanism:electricbow - 1xitem.ElectricBow@0
techreborn:energycrystal - 1xitem.techreborn.energyCrystal@0
ironchest:shulker/black/iron/copper_iron_shulker_box - 1xtile.IronShulkerBoxblack@0
cyclicmagic:item.ender_tnt_2 - 1xitem.ender_tnt_2@0
cyclicmagic:item.ender_tnt_1 - 12xitem.ender_tnt_1@0
incorporeal:corporetics/fractured_space_rod - 1xitem.incorporeal.fractured_space_rod@0
randomthings:entitydetector - 1xtile.entityDetector@0
cyclicmagic:item.ender_tnt_6 - 1xitem.ender_tnt_6@0
cyclicmagic:item.ender_tnt_5 - 1xitem.ender_tnt_5@0
cyclicmagic:item.ender_tnt_4 - 1xitem.ender_tnt_4@0
cyclicmagic:item.ender_tnt_3 - 1xitem.ender_tnt_3@0
forestry:fireproof_doors_chestnut - 3xtile.for.doors.chestnut@0
nuclearcraft:item.actuallyadditions.item_helm_quartz - 1xitem.actuallyadditions.item_helm_quartz@0
nuclearcraft:item.bewitchment.silver_leggings - 1xitem.bewitchment.silver_leggings@0
darkutils:filter_water - 4xtile.darkutils.filter@5
cyclicmagic:item.crystal_axe_1 - 1xitem.crystal_axe@0
storagedrawers:basicdrawers_halfdrawers4_spruce - 4xtile.storagedrawers.basicDrawers@4
bewitchment:candle/yellow_candle - 1xtile.bewitchment.yellow_candle@0
minecraft:cyan_wool - 1xtile.cloth@9
nuclearcraft:item.thaumium_helm_2 - 1xitem.thaumium_helm@0
nuclearcraft:item.thaumium_helm_1 - 1xitem.thaumium_helm@0
minecraft:sandstone_stairs - 4xtile.stairsSandStone@0
unstabletools:unstable_shears - 1xitem.unstabletools:unstable_shears@0
rpsideas:ivory_helmet - 1xitem.ivory_helmet@0
forestry:planks_citrus - 4xtile.for.planks.1@7
nuclearcraft:item.actuallyadditions.item_chest_crystal_blue_2 - 1xitem.actuallyadditions.item_chest_crystal_blue@0
nuclearcraft:item.actuallyadditions.item_chest_crystal_blue_1 - 1xitem.actuallyadditions.item_chest_crystal_blue@0
jaopca:block_stairslumium_eaevzg - 8xtile.jaopca.stairs@0
forestry:fireproof_doors_cocobolo - 3xtile.for.doors.cocobolo@0
magicbees:temporalframe - 1xitem.magicbees.frames.temporal@0
nuclearcraft:tile.nuclearcraft.salt_fission_beam - 1xtile.nuclearcraft.salt_fission_beam@0
minecraft:coarse_dirt - 4xtile.dirt@1
enderutilities:ender_part_creative_breaking - 1xitem.enderutilities.enderpart@30
opencomputers:decolorizeboots - 2xtile.air@15
guideapi:bloodmagic_guide - 1xitem.guideapi.book.bloodmagic.guide@0
tcomplement:steelworks/high_oven/casting_table - 1xtile.tcomplement.scorched_casting@0
mekanism:transmitter_6_alt_alt - 8xtile.Transmitter@6
industrialforegoing:energy_field_addon - 1xitem.industrialforegoing.energy_field_addon@0
bewitchment:block_of_garnet_to_resource - 9xitem.bewitchment.garnet@0
torchmaster:frozen_pearl - 1xitem.torchmaster.frozen_pearl@0
forestry:backpack_building - 1xitem.for.builder_bag@0
industrialforegoing:animal_stock_increaser - 1xtile.industrialforegoing.animal_stock_increaser@0
bloodmagic:demon_decor/demon_brick_2_tilespecial_destructive - 9xtile.bloodmagic.bricks2.@12
immersiveengineering:material/stick_treated - 4xitem.immersiveengineering.material@0
nuclearcraft:item.simplyjetpacks.jetpack_eio4_armored - 1xitem.simplyjetpacks.itemJetpack@8
minecraft:fermented_spider_eye - 1xitem.fermentedSpiderEye@0
immersiveengineering:metal_devices/turret_chemthrower - 1xtile.immersiveengineering.metal_device1@10
extratrees:hickory_stairs - 4xtile.stairs.hickory@0
nuclearcraft:item.shadowwarriorboots_1 - 1xitem.shadowwarriorboots@0
nuclearcraft:item.shadowwarriorboots_2 - 1xitem.shadowwarriorboots@0
nuclearcraft:tile.nuclearcraft.heat_exchanger_wall - 4xtile.nuclearcraft.heat_exchanger_wall@0
extrabotany:recipe_infinitewine - 2xtile.air@15
nuclearcraft:item.nuclearcraft.neptunium._236 - 1xitem.nuclearcraft.neptunium@0
draconicevolution:info_tablet - 1xitem.draconicevolution:info_tablet@0
nuclearcraft:item.nuclearcraft.neptunium._237 - 9xitem.nuclearcraft.neptunium@4
conarm:armorforge_blockboron - 1xtile.conarm.armorforge@0
jaopca:block_slabmagnesiumdiboride_4a23cd - 6xtile.jaopca.slab@0
extracells:storagecells/gas/extracasing/64k - 1xitem.extracells.storage.gas@3
minecraft:iron_door - 3xitem.doorIron@0
minecraft:purple_stained_glass_pane - 16xtile.thinStainedGlass@10
nuclearcraft:item.oc.hoverboots_1 - 1xitem.oc.hoverboots@0
jaopca:block_fencedawnstone_xsctha - 3xtile.jaopca.fence@0
nuclearcraft:item.oc.hoverboots_2 - 1xitem.oc.hoverboots@0
integrateddynamics:labeller - 1xitem.items.integrateddynamics.labeller@0
thaumicbases:thauminitechest - 1xitem.thauminitechest@0
minecraft:chiseled_quartz_block - 1xtile.quartzBlock@1
mekanism:machineblock_0 - 1xtile.MachineBlock@0
stevescarts:module/side_chests - 1xitem.SC2:unknownmodule@2
extratrees:hickory_slabs - 6xtile.slabs.1@7
mekanism:machineblock_1 - 1xtile.MachineBlock@1
opencomputers:adapter0 - 1xtile.oc.adapter@0
mekanism:machineblock_2 - 1xtile.MachineBlock@2
mekanism:machineblock_3 - 1xtile.MachineBlock@3
mekanism:machineblock_4 - 1xtile.MachineBlock@4
mekanism:machineblock_5 - 1xtile.MachineBlock@5
mekanism:machineblock_6 - 1xtile.MachineBlock@6
mekanism:machineblock_7 - 1xtile.MachineBlock@7
mekanismtools:glowstonehelmet - 1xitem.GlowstoneHelmet@0
mekanism:machineblock_8 - 1xtile.MachineBlock@8
mekanism:machineblock_9 - 1xtile.MachineBlock@9
mekanism:glowpanel_8_alt - 4xtile.GlowPanel@8
stevescarts:module/cage - 1xitem.SC2:unknownmodule@57
environmentaltech:m_resources/lonsdaleite/pavers/paver_to_normal - 1xtile.environmentaltech.lonsdaleite@0
forestry:doors_willow - 3xtile.for.doors.willow@0
baggablemobs:mob_bag - 1xitem.baggablemobs:mob_bag@0
randomthings:portkey_camo - 1xitem.portKey@0
nuclearcraft:item.helmet_primal_up_2 - 1xitem.helmet_primal_up@0
nuclearcraft:item.helmet_primal_up_1 - 1xitem.helmet_primal_up@0
naturalpledge:idunn - 1xitem.priest_emblem@1
packagedexcrafting:combination_crafter - 1xtile.packagedexcrafting.combination_crafter@0
zerocore:debugtool - 1xitem.zerocore:debugtool@0
mystgears:recipe_windup_box - 1xtile.windup_box@0
tg:focus_jungle - 1xtile.terra_focus@3
enderio:auto_easy_lookup_for_coloring_enlightened_fused_glass_with_black - 8xtile.block_enlightened_fused_glass@15
extratrees:apple_fireproof_fence_gates - 1xtile.fence.gates.fireproof.apple@0
botania:manaresource_12 - 1xitem.manaResource@12
botania:manaresource_11 - 32xitem.manaResource@11
forestry:farm_control_quartz_lines - 1xtile.for.ffarm@5
storagedrawersextra:extra_trim_3_forestry_citrus - 4xtile.extraTrim3@5
crafttweaker:complex-logic-multiplication-rerererererererererererereremodified - 1xtile.null@0
forestry:farm_hatch_sandstone_chiseled - 1xtile.for.ffarm@3
teslathingies:compound_maker - 1xtile.teslathingies.compound_maker@0
jaopca:block_slabphotonium_3isaqy - 6xtile.jaopca.slab@0
extratrees:butternut_doors - 3xtile.doors.butternut@0
nuclearcraft:item.thaumium_boots_2 - 1xitem.thaumium_boots@0
crafttweaker:thermalfoundation-tool.shears_aluminum-modified - 1xitem.thermalfoundation.tool.aluminumShears@0
nuclearcraft:item.thaumium_boots_1 - 1xitem.thaumium_boots@0
crafttweaker:thermalfoundation-tool.sword_aluminum-modified - 1xitem.thermalfoundation.tool.aluminumSword@0
nuclearcraft:item.boots_light - 1xitem.boots_light@0
jaopca:item_mysticalseedshslasteel_1o9fs3 - 1xitem.jaopca.mysticalSeeds@0
jaopca:item_mysticalseedsdimensionalshard_kew1jl - 1xitem.jaopca.mysticalSeeds@0
botania:petal_4_double - 4xitem.petal@4
enderio:dark_steel_ball_crafting - 24xitem.item_alloy_ball@6
nuclearcraft:tile.nuclearcraft.lithium_ion_battery_elite - 1xtile.nuclearcraft.lithium_ion_battery_elite@0
nuclearcraft:item.thauminitehelmet_2 - 1xitem.thauminitehelmet@0
nuclearcraft:item.thauminitehelmet_1 - 1xitem.thauminitehelmet@0
extendedcrafting:block_of_nether_stars_from - 9xitem.netherStar@0
ironchest:shulker/magenta/obsidian/diamond_obsidian_shulker_box - 1xtile.IronShulkerBoxmagenta@6
jaopca:item_stickcocoabutter_tnzxwz - 4xitem.jaopca.stick@0
tp:nether_iron_hoe - 1xitem.nether_iron_hoe@0
botania:livingrock0stairs - 4xtile.livingrock0Stairs@0
enderio:auto_coloring_dark_fused_quartz_with_brown - 8xtile.block_dark_fused_quartz@12
forestry:fireproof_fences_sequoia - 3xtile.for.fences.fireproof.0@7
jaopca:block_stairscrystaltine_2jouhb - 8xtile.jaopca.stairs@0
enderio:reservoir - 4xtile.block_reservoir@0
botania:managun - 1xitem.manaGun@0
immersiveengineering:toolupgrades/railgun_capacitors - 1xitem.immersiveengineering.toolupgrade@9
extratrees:locust_stairs - 4xtile.stairs.locust@0
tconstruct:tools/forge/blockmanganesedioxide - 1xtile.tconstruct.toolforge@0
chisel:coal - 9xitem.coal@0
cyclicmagic:tile.target_1 - 1xtile.target@0
enderio:auto_coloring_dark_fused_glass_with_purple - 8xtile.block_dark_fused_glass@10
botania:flighttiara_5 - 1xitem.flightTiara@5
botania:flighttiara_4 - 1xitem.flightTiara@4
nuclearcraft:item.nuclearcraft.legs_hazmat - 1xitem.nuclearcraft.legs_hazmat@0
botania:flighttiara_7 - 1xitem.flightTiara@7
botania:flighttiara_6 - 1xitem.flightTiara@6
tcomplement:armor/steel_chestplate - 1xitem.tcomplement.steel_chestplate@0
botania:flighttiara_1 - 1xitem.flightTiara@1
jaopca:block_fencemixedmetal_yqm024 - 3xtile.jaopca.fence@0
botania:flighttiara_0 - 1xitem.flightTiara@0
botania:flighttiara_3 - 1xitem.flightTiara@3
botania:flighttiara_2 - 1xitem.flightTiara@2
enderio:infinity_rod - 1xitem.item_material@71
botania:flighttiara_8 - 1xitem.flightTiara@8
appliedenergistics2:network/cables/dense_covered_cyan - 8xitem.appliedenergistics2.part@509
embers:dawnstone_anvil - 1xtile.dawnstone_anvil@0
jaopca:block_wallvoid_dadqlz - 12xtile.jaopca.wall@0
nuclearcraft:item.bronzeboots - 1xitem.BronzeBoots@0
teslathingies:liquidxp_collector - 1xitem.teslathingies.liquidxp_collector@0
enderio:conduit_endergy_electrum - 8xitem.item_endergy_conduit@6
botania:manaresource_14 - 1xitem.manaResource@14
jaopca:item_nuggetobsidian_9js5ny - 9xitem.jaopca.nugget@0
botania:wands/twigwand_green_green - 1xitem.twigWand@0
botania:manaresource_13 - 1xitem.manaResource@13
thaumic_arcana:create_slimy_shovel - 1xitem.thaumic_arcana.slimy_shovel@0
enderio:dark_bow - 1xitem.item_dark_steel_bow@0
forestry:fireproof_planks_palm - 4xtile.for.planks.fireproof.1@2
bloodarsenal:blood_stained_glass_pane_alt - 1xtile.bloodarsenal.blood_stained_glass_pane@0
forestry:farm_control_brick_nether - 1xtile.for.ffarm@5
botania:manaresource_22 - 1xitem.manaResource@22
crafttweaker:embers-ingotaluminum_pickaxe-modified - 1xitem.pickaxe_aluminum@0
environmentaltech:m_resources/lonsdaleite/normal/slabs/slabs_tb - 1xtile.environmentaltech.lonsdaleite@0
techreborn:peridothoe - 1xitem.peridotHoe@0
minecraft:cyan_dye - 2xitem.dyePowder@6
nuclearcraft:tile.nuclearcraft.salt_fission_moderator - 1xtile.nuclearcraft.salt_fission_moderator@0
botany:trowel_iron - 1xitem.botany.trowel_iron@0
mysticalagriculture:charm - 1xitem.ma.charm@0
bibliocraft:white_dyed_lampiron - 1xtile.BiblioCraft:LampIron@0
openprinter:items/colorinkrefill - 1xitem.printer_ink_color@0
jaopca:item_mysticalseedsextreme_8vyj2c - 1xitem.jaopca.mysticalSeeds@0
yoyos:cord - 1xitem.yoyos.cord@0
nuclearcraft:item.nuclearcraft.berkelium._247_tiny - 9xitem.nuclearcraft.berkelium@2
complex-logic:lamp/cage_lamp_purple_inverted - 1xtile.cage_lamp_inverted@0
minecraft:spruce_boat - 1xitem.boat.spruce@0
bloodmagic:demon_decor/demon_pillar_cap_2_destructive - 6xtile.bloodmagic.pillarCap2.@0
environmentaltech:m_resources/erodium/bricks/slabs/brick_slabs - 6xtile.environmentaltech.erodium_brick_slab@0
charset:simplelogic/gates/gate_synchronizer - 1xtile.null@0
darkutils:filter_convert_back_monster - 1xtile.darkutils.filter@3
immersiveengineering:sheetmetal/copper_sheetmetal - 4xtile.immersiveengineering.sheetmetal@0
environmentaltech:m_resources/aethium/normal/stairs/stairs_tb - 1xtile.environmentaltech.aethium@0
botania:wands/twigwand_black_white - 1xitem.twigWand@0
extratrees:rosewood_stairs - 4xtile.stairs.rosewood@0
mysticalagriculture:starmetal_seeds - 1xitem.ma.starmetal_seeds@0
randomthings:portkey - 1xitem.portKey@0
jaopca:block_slabgraphite_2rdkv3 - 6xtile.jaopca.slab@0
nuclearcraft:tile.nuclearcraft.salt_fission_heater - 1xtile.nuclearcraft.salt_fission_heater@0
teslathingies:fluid_compound_producer - 1xtile.teslathingies.fluid_compound_producer@0
jaopca:wub_ingot_8549op - 4xitem.wub_ingot@0
mekanism:machineblock2_11_alt_alt - 1xtile.MachineBlock2@11
forestry:slabs_giganteum - 6xtile.for.slabs.3@0
mekanismtools:lapislazulileggings - 1xitem.LapisLazuliLeggings@0
randomthings:stainedbrick_yellow - 8xtile.stainedBrick@4
industrialforegoing:adult_filter - 1xitem.industrialforegoing.adult_filter@0
crafttweaker:chisel-uncraft_blockaluminum-modified - 9xitem.thermalfoundation.material@132
randomthings:platform_birch - 6xtile.platform@2
botany:mortar_turquoise - 4xtile.null@74
botania:wands/twigwand_pink_brown - 1xitem.twigWand@0
thaumcraft:label_praecantatio - 1xitem.label@1
pneumaticcraft:gun_ammo_potion - 1xitem.gun_ammo@0
enderio:auto_coloring_dark_fused_quartz_with_yellow - 8xtile.block_dark_fused_quartz@4
nuclearcraft:item.actuallyadditions.item_engineer_goggles_advanced - 1xitem.actuallyadditions.item_engineer_goggles_advanced@0
pneumaticcraft:pneumatic_boots - 1xitem.pneumatic_boots@0
embers:ashen_tile - 4xtile.ashen_tile@0
nuclearcraft:item.nuclearcraft.fuel_uranium.heu_235 - 1xitem.nuclearcraft.fuel_uranium@6
nuclearcraft:item.nuclearcraft.fuel_uranium.heu_233 - 1xitem.nuclearcraft.fuel_uranium@2
forestry:planks_teak - 4xtile.for.planks.0@1
nuclearcraft:item.quartz_helmet - 1xitem.quartz_helmet@0
botania:quartzslabelfhalf_0 - 6xtile.quartzSlabElfHalf@0
enderutilities:energy_bridge_resonator - 1xtile.null@0
enderio:dark_steel_upgrade_flippers - 1xitem.item_dark_steel_upgrade@1
minecraft:iron_nugget - 9xitem.ironNugget@0
nuclearcraft:tile.nuclearcraft.cooler.enderium - 1xtile.nuclearcraft.cooler@9
randomthings:grassseeds_red - 1xitem.grassSeeds@15
jaopca:block_stairsplatinum_56pf19 - 8xtile.jaopca.stairs@0
storagedrawersextra:extra_drawers_fulldrawers4_forestry_cocobolo - 4xtile.extraDrawers@2
forestry:fireproof_planks_larch - 4xtile.for.planks.fireproof.0@0
industrialforegoing:black_hole_unit - 1xtile.industrialforegoing.black_hole_unit@0
forestry:fireproof_fences_cocobolo - 3xtile.for.fences.fireproof.1@11
engineersdoors:fencegate_steel - 1xtile.fencegate_steel@0
xreliquary:items/mob_charms/skeleton - 1xitem.mob_charm@0
thaumcraft:bannerwhite - 1xtile.banner_white@0
xreliquary:items/ice_magus_rod - 1xitem.ice_magus_rod@0
jaopca:block_fencecrystallinepinkslime_7tpi38 - 3xtile.jaopca.fence@0
bibliocraft:jungle_seatback1 - 1xitem.seatback1@3
mysticalagriculture:gemquartzblack - 6xitem.actuallyadditions.item_misc@5
bibliocraft:jungle_seatback2 - 1xitem.seatback2@3
industrialforegoing:enchantment_extractor_mekanism - 1xtile.industrialforegoing.enchantment_extractor@0
bibliocraft:jungle_seatback5 - 1xitem.seatback5@3
nuclearcraft:item.stone_boots_2 - 1xitem.stone_boots@0
nuclearcraft:item.stone_boots_1 - 1xitem.stone_boots@0
bibliocraft:jungle_seatback3 - 1xitem.seatback3@3
bibliocraft:jungle_seatback4 - 1xitem.seatback4@3
thaumadditions:fluctus_crystal_block - 1xtile.thaumadditions:crystal_block@0
conarm:travel_slowfall - 1xitem.conarm.travel_slowfall@0
thermaldynamics:filter_10 - 1xitem.thermaldynamics.filter@4
mekanism:plasticfence_11_alt - 4xtile.PlasticFence@11
thermaldynamics:filter_12 - 1xitem.thermaldynamics.filter@4
crafttweaker:techreborn-ingot_74-modified - 6xitem.techreborn.ingot@21
thermaldynamics:filter_11 - 1xitem.thermaldynamics.filter@4
enderio:inhibitor_obelisk - 1xtile.block_inhibitor_obelisk@0
thaumicaugmentation:arcanetrapdoorgreatwood - 2xtile.thaumicaugmentation.arcane_trapdoor_wood@0
thermaldynamics:filter_14 - 1xitem.thermaldynamics.filter@4
thermaldynamics:filter_13 - 1xitem.thermaldynamics.filter@4
engineersworkshop:upgrade - 1xitem.null@0
enderio:deco_block_1_1_f - 1xtile.block_decoration1@1
