"OreDict Key","ItemStacks"
"blockGlassBlack","[minecraft:stained_glass@15 - 'Black Stained Glass' - <no NBT>]; [chisel:glassdyedblack@0 - 'Black Stained Glass' - <no NBT>]; [chisel:glassdyedblack@1 - 'Black Stained Glass' - <no NBT>]; [chisel:glassdyedblack@2 - 'Black Stained Glass' - <no NBT>]; [chisel:glassdyedblack@3 - 'Black Stained Glass' - <no NBT>]; [chisel:glassdyedblack@4 - 'Black Stained Glass' - <no NBT>]; [chisel:glassdyedblack@5 - 'Black Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@15 - 'Clear Black Stained Glass' - <no NBT>]; [enderio:block_fused_glass@15 - 'Quite Clear Glass' - <no NBT>]"
"blockGlassBlue","[minecraft:stained_glass@11 - 'Blue Stained Glass' - <no NBT>]; [chisel:glassdyedblue@0 - 'Blue Stained Glass' - <no NBT>]; [chisel:glassdyedblue@1 - 'Blue Stained Glass' - <no NBT>]; [chisel:glassdyedblue@2 - 'Blue Stained Glass' - <no NBT>]; [chisel:glassdyedblue@3 - 'Blue Stained Glass' - <no NBT>]; [chisel:glassdyedblue@4 - 'Blue Stained Glass' - <no NBT>]; [chisel:glassdyedblue@5 - 'Blue Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@11 - 'Clear Blue Stained Glass' - <no NBT>]; [enderio:block_fused_glass@11 - 'Quite Clear Glass' - <no NBT>]"
"blockGlassBrown","[minecraft:stained_glass@12 - 'Brown Stained Glass' - <no NBT>]; [chisel:glassdyedbrown@0 - 'Brown Stained Glass' - <no NBT>]; [chisel:glassdyedbrown@1 - 'Brown Stained Glass' - <no NBT>]; [chisel:glassdyedbrown@2 - 'Brown Stained Glass' - <no NBT>]; [chisel:glassdyedbrown@3 - 'Brown Stained Glass' - <no NBT>]; [chisel:glassdyedbrown@4 - 'Brown Stained Glass' - <no NBT>]; [chisel:glassdyedbrown@5 - 'Brown Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@12 - 'Clear Brown Stained Glass' - <no NBT>]; [enderio:block_fused_glass@12 - 'Quite Clear Glass' - <no NBT>]"
"blockGlassColorless","[minecraft:glass@0 - 'Glass' - <no NBT>]; [chisel:glass@0 - 'Glass' - <no NBT>]; [chisel:glass@1 - 'Glass' - <no NBT>]; [chisel:glass@2 - 'Glass' - <no NBT>]; [chisel:glass@3 - 'Glass' - <no NBT>]; [chisel:glass@4 - 'Glass' - <no NBT>]; [chisel:glass@5 - 'Glass' - <no NBT>]; [chisel:glass@6 - 'Glass' - <no NBT>]; [chisel:glass@7 - 'Glass' - <no NBT>]; [chisel:glass@8 - 'Glass' - <no NBT>]; [chisel:glass@9 - 'Glass' - <no NBT>]; [chisel:glass@10 - 'Glass' - <no NBT>]; [chisel:glass@11 - 'Glass' - <no NBT>]; [chisel:glass@12 - 'Glass' - <no NBT>]; [chisel:glass@13 - 'Glass' - <no NBT>]; [chisel:glass@14 - 'Glass' - <no NBT>]; [chisel:glass@15 - 'Glass' - <no NBT>]; [enderio:block_fused_glass@0 - 'Quite Clear Glass' - <no NBT>]"
"blockGlassCyan","[minecraft:stained_glass@9 - 'Cyan Stained Glass' - <no NBT>]; [chisel:glassdyedcyan@0 - 'Cyan Stained Glass' - <no NBT>]; [chisel:glassdyedcyan@1 - 'Cyan Stained Glass' - <no NBT>]; [chisel:glassdyedcyan@2 - 'Cyan Stained Glass' - <no NBT>]; [chisel:glassdyedcyan@3 - 'Cyan Stained Glass' - <no NBT>]; [chisel:glassdyedcyan@4 - 'Cyan Stained Glass' - <no NBT>]; [chisel:glassdyedcyan@5 - 'Cyan Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@9 - 'Clear Cyan Stained Glass' - <no NBT>]; [enderio:block_fused_glass@9 - 'Quite Clear Glass' - <no NBT>]"
"blockGlassDirty","[tp:dirty_glass@0 - 'Dirty Glass' - <no NBT>]"
"blockGlassGlowstone","[tp:glowstone_glass@0 - 'Glowstone Glass' - <no NBT>]"
"blockGlassGray","[minecraft:stained_glass@7 - 'Gray Stained Glass' - <no NBT>]; [chisel:glassdyedgray@0 - 'Gray Stained Glass' - <no NBT>]; [chisel:glassdyedgray@1 - 'Gray Stained Glass' - <no NBT>]; [chisel:glassdyedgray@2 - 'Gray Stained Glass' - <no NBT>]; [chisel:glassdyedgray@3 - 'Gray Stained Glass' - <no NBT>]; [chisel:glassdyedgray@4 - 'Gray Stained Glass' - <no NBT>]; [chisel:glassdyedgray@5 - 'Gray Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@7 - 'Clear Gray Stained Glass' - <no NBT>]; [enderio:block_fused_glass@7 - 'Quite Clear Glass' - <no NBT>]"
"blockGlassGreen","[minecraft:stained_glass@13 - 'Green Stained Glass' - <no NBT>]; [chisel:glassdyedgreen@0 - 'Green Stained Glass' - <no NBT>]; [chisel:glassdyedgreen@1 - 'Green Stained Glass' - <no NBT>]; [chisel:glassdyedgreen@2 - 'Green Stained Glass' - <no NBT>]; [chisel:glassdyedgreen@3 - 'Green Stained Glass' - <no NBT>]; [chisel:glassdyedgreen@4 - 'Green Stained Glass' - <no NBT>]; [chisel:glassdyedgreen@5 - 'Green Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@13 - 'Clear Green Stained Glass' - <no NBT>]; [enderio:block_fused_glass@13 - 'Quite Clear Glass' - <no NBT>]"
"blockGlassHardened","[thermalfoundation:glass@32767 - '(WILDCARD)' - <no NBT>]; [thermalfoundation:glass_alloy@32767 - '(WILDCARD)' - <no NBT>]; [enderio:block_fused_quartz@32767 - '(WILDCARD)' - <no NBT>]; [jaopca:block_glasshardenedardite@0 - 'Hardened Ardite Glass' - <no NBT>]; [jaopca:block_glasshardenedastralstarmetal@0 - 'Hardened Astral Starmetal Glass' - <no NBT>]; [jaopca:block_glasshardenedboron@0 - 'Hardened Boron Glass' - <no NBT>]; [jaopca:block_glasshardenedcobalt@0 - 'Hardened Cobalt Glass' - <no NBT>]; [jaopca:block_glasshardeneddraconium@0 - 'Hardened Draconium Glass' - <no NBT>]; [jaopca:block_glasshardenedgold@0 - 'Hardened Gold Glass' - <no NBT>]; [jaopca:block_glasshardenediron@0 - 'Hardened Iron Glass' - <no NBT>]; [jaopca:block_glasshardenedlithium@0 - 'Hardened Lithium Glass' - <no NBT>]; [jaopca:block_glasshardenedmagnesium@0 - 'Hardened Magnesium Glass' - <no NBT>]; [jaopca:block_glasshardenedosmium@0 - 'Hardened Osmium Glass' - <no NBT>]; [jaopca:block_glasshardenedthorium@0 - 'Hardened Thorium Glass' - <no NBT>]; [jaopca:block_glasshardenedtungsten@0 - 'Hardened Tungsten Glass' - <no NBT>]; [jaopca:block_glasshardeneduranium@0 - 'Hardened Uranium Glass' - <no NBT>]; [jaopca:block_glasshardenedyellorium@0 - 'Hardened Yellorium Glass' - <no NBT>]"
"blockGlassHardenedBlack","[enderio:block_fused_quartz@15 - 'Fused Quartz' - <no NBT>]"
"blockGlassHardenedBlue","[enderio:block_fused_quartz@11 - 'Fused Quartz' - <no NBT>]"
"blockGlassHardenedBrown","[enderio:block_fused_quartz@12 - 'Fused Quartz' - <no NBT>]"
"blockGlassHardenedCyan","[enderio:block_fused_quartz@9 - 'Fused Quartz' - <no NBT>]"
"blockGlassHardenedGray","[enderio:block_fused_quartz@7 - 'Fused Quartz' - <no NBT>]"
"blockGlassHardenedGreen","[enderio:block_fused_quartz@13 - 'Fused Quartz' - <no NBT>]"
"blockGlassHardenedLightBlue","[enderio:block_fused_quartz@3 - 'Fused Quartz' - <no NBT>]"
"blockGlassHardenedLightGray","[enderio:block_fused_quartz@8 - 'Fused Quartz' - <no NBT>]"
"blockGlassHardenedLime","[enderio:block_fused_quartz@5 - 'Fused Quartz' - <no NBT>]"
"blockGlassHardenedMagenta","[enderio:block_fused_quartz@2 - 'Fused Quartz' - <no NBT>]"
"blockGlassHardenedOrange","[enderio:block_fused_quartz@1 - 'Fused Quartz' - <no NBT>]"
"blockGlassHardenedPink","[enderio:block_fused_quartz@6 - 'Fused Quartz' - <no NBT>]"
"blockGlassHardenedPurple","[enderio:block_fused_quartz@10 - 'Fused Quartz' - <no NBT>]"
"blockGlassHardenedRed","[enderio:block_fused_quartz@14 - 'Fused Quartz' - <no NBT>]"
"blockGlassHardenedWhite","[enderio:block_fused_quartz@0 - 'Fused Quartz' - <no NBT>]"
"blockGlassHardenedYellow","[enderio:block_fused_quartz@4 - 'Fused Quartz' - <no NBT>]"
"blockGlassLightBlue","[minecraft:stained_glass@3 - 'Light Blue Stained Glass' - <no NBT>]; [chisel:glassdyedlightblue@0 - 'Light Blue Stained Glass' - <no NBT>]; [chisel:glassdyedlightblue@1 - 'Light Blue Stained Glass' - <no NBT>]; [chisel:glassdyedlightblue@2 - 'Light Blue Stained Glass' - <no NBT>]; [chisel:glassdyedlightblue@3 - 'Light Blue Stained Glass' - <no NBT>]; [chisel:glassdyedlightblue@4 - 'Light Blue Stained Glass' - <no NBT>]; [chisel:glassdyedlightblue@5 - 'Light Blue Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@3 - 'Clear Light Blue Stained Glass' - <no NBT>]; [enderio:block_fused_glass@3 - 'Quite Clear Glass' - <no NBT>]"
"blockGlassLightGray","[minecraft:stained_glass@8 - 'Light Gray Stained Glass' - <no NBT>]; [chisel:glassdyedlightgray@0 - 'Light Gray Stained Glass' - <no NBT>]; [chisel:glassdyedlightgray@1 - 'Light Gray Stained Glass' - <no NBT>]; [chisel:glassdyedlightgray@2 - 'Light Gray Stained Glass' - <no NBT>]; [chisel:glassdyedlightgray@3 - 'Light Gray Stained Glass' - <no NBT>]; [chisel:glassdyedlightgray@4 - 'Light Gray Stained Glass' - <no NBT>]; [chisel:glassdyedlightgray@5 - 'Light Gray Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@8 - 'Clear Light Gray Stained Glass' - <no NBT>]; [enderio:block_fused_glass@8 - 'Quite Clear Glass' - <no NBT>]"
"blockGlassLime","[minecraft:stained_glass@5 - 'Lime Stained Glass' - <no NBT>]; [chisel:glassdyedlime@0 - 'Lime Stained Glass' - <no NBT>]; [chisel:glassdyedlime@1 - 'Lime Stained Glass' - <no NBT>]; [chisel:glassdyedlime@2 - 'Lime Stained Glass' - <no NBT>]; [chisel:glassdyedlime@3 - 'Lime Stained Glass' - <no NBT>]; [chisel:glassdyedlime@4 - 'Lime Stained Glass' - <no NBT>]; [chisel:glassdyedlime@5 - 'Lime Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@5 - 'Clear Light Green Stained Glass' - <no NBT>]; [enderio:block_fused_glass@5 - 'Quite Clear Glass' - <no NBT>]"
"blockGlassMagenta","[minecraft:stained_glass@2 - 'Magenta Stained Glass' - <no NBT>]; [chisel:glassdyedmagenta@0 - 'Magenta Stained Glass' - <no NBT>]; [chisel:glassdyedmagenta@1 - 'Magenta Stained Glass' - <no NBT>]; [chisel:glassdyedmagenta@2 - 'Magenta Stained Glass' - <no NBT>]; [chisel:glassdyedmagenta@3 - 'Magenta Stained Glass' - <no NBT>]; [chisel:glassdyedmagenta@4 - 'Magenta Stained Glass' - <no NBT>]; [chisel:glassdyedmagenta@5 - 'Magenta Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@2 - 'Clear Magenta Stained Glass' - <no NBT>]; [enderio:block_fused_glass@2 - 'Quite Clear Glass' - <no NBT>]"
"blockGlassOrange","[minecraft:stained_glass@1 - 'Orange Stained Glass' - <no NBT>]; [chisel:glassdyedorange@0 - 'Orange Stained Glass' - <no NBT>]; [chisel:glassdyedorange@1 - 'Orange Stained Glass' - <no NBT>]; [chisel:glassdyedorange@2 - 'Orange Stained Glass' - <no NBT>]; [chisel:glassdyedorange@3 - 'Orange Stained Glass' - <no NBT>]; [chisel:glassdyedorange@4 - 'Orange Stained Glass' - <no NBT>]; [chisel:glassdyedorange@5 - 'Orange Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@1 - 'Clear Orange Stained Glass' - <no NBT>]; [enderio:block_fused_glass@1 - 'Quite Clear Glass' - <no NBT>]"
"blockGlassPink","[minecraft:stained_glass@6 - 'Pink Stained Glass' - <no NBT>]; [chisel:glassdyedpink@0 - 'Pink Stained Glass' - <no NBT>]; [chisel:glassdyedpink@1 - 'Pink Stained Glass' - <no NBT>]; [chisel:glassdyedpink@2 - 'Pink Stained Glass' - <no NBT>]; [chisel:glassdyedpink@3 - 'Pink Stained Glass' - <no NBT>]; [chisel:glassdyedpink@4 - 'Pink Stained Glass' - <no NBT>]; [chisel:glassdyedpink@5 - 'Pink Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@6 - 'Clear Pink Stained Glass' - <no NBT>]; [enderio:block_fused_glass@6 - 'Quite Clear Glass' - <no NBT>]"
"blockGlassPurple","[minecraft:stained_glass@10 - 'Purple Stained Glass' - <no NBT>]; [chisel:glassdyedpurple@0 - 'Purple Stained Glass' - <no NBT>]; [chisel:glassdyedpurple@1 - 'Purple Stained Glass' - <no NBT>]; [chisel:glassdyedpurple@2 - 'Purple Stained Glass' - <no NBT>]; [chisel:glassdyedpurple@3 - 'Purple Stained Glass' - <no NBT>]; [chisel:glassdyedpurple@4 - 'Purple Stained Glass' - <no NBT>]; [chisel:glassdyedpurple@5 - 'Purple Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@10 - 'Clear Purple Stained Glass' - <no NBT>]; [enderio:block_fused_glass@10 - 'Quite Clear Glass' - <no NBT>]"
"blockGlassRed","[minecraft:stained_glass@14 - 'Red Stained Glass' - <no NBT>]; [chisel:glassdyedred@0 - 'Red Stained Glass' - <no NBT>]; [chisel:glassdyedred@1 - 'Red Stained Glass' - <no NBT>]; [chisel:glassdyedred@2 - 'Red Stained Glass' - <no NBT>]; [chisel:glassdyedred@3 - 'Red Stained Glass' - <no NBT>]; [chisel:glassdyedred@4 - 'Red Stained Glass' - <no NBT>]; [chisel:glassdyedred@5 - 'Red Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@14 - 'Clear Red Stained Glass' - <no NBT>]; [enderio:block_fused_glass@14 - 'Quite Clear Glass' - <no NBT>]"
"blockGlassWhite","[minecraft:stained_glass@0 - 'White Stained Glass' - <no NBT>]; [chisel:glassdyedwhite@0 - 'White Stained Glass' - <no NBT>]; [chisel:glassdyedwhite@1 - 'White Stained Glass' - <no NBT>]; [chisel:glassdyedwhite@2 - 'White Stained Glass' - <no NBT>]; [chisel:glassdyedwhite@3 - 'White Stained Glass' - <no NBT>]; [chisel:glassdyedwhite@4 - 'White Stained Glass' - <no NBT>]; [chisel:glassdyedwhite@5 - 'White Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@0 - 'Clear White Stained Glass' - <no NBT>]; [enderio:block_fused_glass@0 - 'Quite Clear Glass' - <no NBT>]"
"blockGlassYellow","[minecraft:stained_glass@4 - 'Yellow Stained Glass' - <no NBT>]; [chisel:glassdyedyellow@0 - 'Yellow Stained Glass' - <no NBT>]; [chisel:glassdyedyellow@1 - 'Yellow Stained Glass' - <no NBT>]; [chisel:glassdyedyellow@2 - 'Yellow Stained Glass' - <no NBT>]; [chisel:glassdyedyellow@3 - 'Yellow Stained Glass' - <no NBT>]; [chisel:glassdyedyellow@4 - 'Yellow Stained Glass' - <no NBT>]; [chisel:glassdyedyellow@5 - 'Yellow Stained Glass' - <no NBT>]; [tconstruct:clear_stained_glass@4 - 'Clear Yellow Stained Glass' - <no NBT>]; [enderio:block_fused_glass@4 - 'Quite Clear Glass' - <no NBT>]"
"blockGlitchInfused",""
"blockGlowstone","[minecraft:glowstone@0 - 'Glowstone' - <no NBT>]"
"blockGold","[minecraft:gold_block@0 - 'Block of Gold' - <no NBT>]; [chisel:blockgold@0 - 'Block of Gold' - <no NBT>]; [chisel:blockgold@1 - 'Block of Gold' - <no NBT>]; [chisel:blockgold@2 - 'Block of Gold' - <no NBT>]; [chisel:blockgold@3 - 'Block of Gold' - <no NBT>]; [chisel:blockgold@4 - 'Block of Gold' - <no NBT>]; [chisel:blockgold@5 - 'Block of Gold' - <no NBT>]; [chisel:blockgold@6 - 'Block of Gold' - <no NBT>]; [chisel:gold@0 - 'Block of Gold' - <no NBT>]; [chisel:gold@1 - 'Block of Gold' - <no NBT>]; [chisel:gold@2 - 'Block of Gold' - <no NBT>]; [chisel:gold@3 - 'Block of Gold' - <no NBT>]; [chisel:gold@4 - 'Block of Gold' - <no NBT>]; [chisel:gold@5 - 'Block of Gold' - <no NBT>]; [chisel:gold@6 - 'Block of Gold' - <no NBT>]; [chisel:gold@7 - 'Block of Gold' - <no NBT>]; [chisel:gold@8 - 'Block of Gold' - <no NBT>]; [chisel:gold@9 - 'Block of Gold' - <no NBT>]; [chisel:gold@10 - 'Block of Gold' - <no NBT>]; [chisel:gold@11 - 'Block of Gold' - <no NBT>]; [chisel:gold@12 - 'Block of Gold' - <no NBT>]; [chisel:gold@13 - 'Block of Gold' - <no NBT>]; [chisel:gold@14 - 'Block of Gold' - <no NBT>]; [thaumicbases:oldgold@0 - 'Ancient Gold Block' - <no NBT>]"
"blockGraphite","[nuclearcraft:ingot_block@8 - 'Graphite Block' - <no NBT>]"
"blockGravel","[minecraft:gravel@0 - 'Gravel' - <no NBT>]"
"blockHaderoth",""
"blockHardCarbon",""
"blockHepatizon",""
"blockHopper","[minecraft:hopper@0 - 'Hopper' - <no NBT>]"
"blockIce","[chisel:ice@0 - 'Ice' - <no NBT>]; [chisel:ice@1 - 'Ice' - <no NBT>]; [chisel:ice@2 - 'Ice' - <no NBT>]; [chisel:ice@3 - 'Ice' - <no NBT>]; [chisel:ice@4 - 'Ice' - <no NBT>]; [chisel:ice@5 - 'Ice' - <no NBT>]; [chisel:ice@6 - 'Ice' - <no NBT>]; [chisel:ice@7 - 'Ice' - <no NBT>]; [chisel:ice@8 - 'Ice' - <no NBT>]; [chisel:ice@9 - 'Ice' - <no NBT>]; [chisel:ice@10 - 'Ice' - <no NBT>]; [chisel:ice@11 - 'Ice' - <no NBT>]; [chisel:ice@12 - 'Ice' - <no NBT>]; [chisel:ice@13 - 'Ice' - <no NBT>]; [chisel:ice@14 - 'Ice' - <no NBT>]; [chisel:ice@15 - 'Ice' - <no NBT>]; [chisel:ice1@0 - 'Ice' - <no NBT>]; [chisel:ice1@1 - 'Ice' - <no NBT>]; [chisel:ice1@2 - 'Ice' - <no NBT>]; [chisel:ice1@3 - 'Ice' - <no NBT>]; [chisel:ice1@4 - 'Ice' - <no NBT>]; [chisel:ice1@5 - 'Ice' - <no NBT>]; [chisel:ice1@6 - 'Ice' - <no NBT>]; [chisel:ice1@7 - 'Ice' - <no NBT>]; [chisel:ice1@8 - 'Ice' - <no NBT>]; [chisel:ice1@9 - 'Ice' - <no NBT>]; [chisel:ice1@10 - 'Ice' - <no NBT>]; [chisel:ice1@11 - 'Ice' - <no NBT>]; [chisel:ice1@12 - 'Ice' - <no NBT>]; [chisel:ice1@13 - 'Ice' - <no NBT>]; [chisel:ice1@14 - 'Ice' - <no NBT>]; [chisel:ice1@15 - 'Ice' - <no NBT>]; [chisel:ice2@0 - 'Ice' - <no NBT>]; [chisel:icepillar@0 - 'Ice Pillar' - <no NBT>]; [chisel:icepillar@1 - 'Ice Pillar' - <no NBT>]; [chisel:icepillar@2 - 'Ice Pillar' - <no NBT>]; [chisel:icepillar@3 - 'Ice Pillar' - <no NBT>]; [chisel:icepillar@4 - 'Ice Pillar' - <no NBT>]; [chisel:icepillar@5 - 'Ice Pillar' - <no NBT>]; [chisel:icepillar@6 - 'Ice Pillar' - <no NBT>]; [minecraft:ice@0 - 'Ice' - <no NBT>]"
"blockIgnatius",""
"blockInferium","[mysticalagriculture:ingot_storage@1 - 'Block of Inferium' - <no NBT>]"
"blockInferiumCoal","[mysticalagriculture:coal_block@0 - 'Block of Inferium Coal' - <no NBT>]"
"blockInferiumEssence","[mysticalagriculture:storage@0 - 'Block of Inferium Essence' - <no NBT>]"
"blockInfinity","[avaritia:block_resource@1 - 'Infinity Block' - <no NBT>]"
"blockInfuscolium",""
"blockInolashite",""
"blockInsanium","[mysticalagradditions:storage@1 - 'Block of Insanium' - <no NBT>]"
"blockInsaniumCoal","[mysticalagradditions:storage@2 - 'Block of Insanium Coal' - <no NBT>]"
"blockInsaniumEssence","[mysticalagradditions:storage@0 - 'Block of Insanium Essence' - <no NBT>]"
"blockIntermedium","[mysticalagriculture:ingot_storage@3 - 'Block of Intermedium' - <no NBT>]"
"blockIntermediumCoal","[mysticalagriculture:coal_block@2 - 'Block of Intermedium Coal' - <no NBT>]"
"blockIntermediumEssence","[mysticalagriculture:storage@2 - 'Block of Intermedium Essence' - <no NBT>]"
"blockInvar","[thermalfoundation:storage_alloy@2 - 'Block of Invar' - <no NBT>]; [chisel:blockinvar@0 - 'Block of Invar' - <no NBT>]; [chisel:blockinvar@1 - 'Block of Invar' - <no NBT>]; [chisel:blockinvar@2 - 'Block of Invar' - <no NBT>]; [chisel:blockinvar@3 - 'Block of Invar' - <no NBT>]; [chisel:blockinvar@4 - 'Block of Invar' - <no NBT>]; [chisel:blockinvar@5 - 'Block of Invar' - <no NBT>]; [chisel:blockinvar@6 - 'Block of Invar' - <no NBT>]"
"blockIonite","[environmentaltech:ionite@0 - 'Ionite' - <no NBT>]; [environmentaltech:ionite_paver@0 - 'Ionite Paver' - <no NBT>]; [environmentaltech:ionite_bricks@0 - 'Ionite Bricks' - <no NBT>]; [environmentaltech:ionite_tiles@0 - 'Ionite Tiles' - <no NBT>]"
"blockIridium","[thermalfoundation:storage@7 - 'Block of Iridium' - <no NBT>]"
"blockIron","[minecraft:iron_block@0 - 'Block of Iron' - <no NBT>]; [chisel:blockiron@0 - 'Block of Iron' - <no NBT>]; [chisel:blockiron@1 - 'Block of Iron' - <no NBT>]; [chisel:blockiron@2 - 'Block of Iron' - <no NBT>]; [chisel:blockiron@3 - 'Block of Iron' - <no NBT>]; [chisel:blockiron@4 - 'Block of Iron' - <no NBT>]; [chisel:blockiron@5 - 'Block of Iron' - <no NBT>]; [chisel:blockiron@6 - 'Block of Iron' - <no NBT>]; [chisel:iron@0 - 'Block of Iron' - <no NBT>]; [chisel:iron@1 - 'Block of Iron' - <no NBT>]; [chisel:iron@2 - 'Block of Iron' - <no NBT>]; [chisel:iron@3 - 'Block of Iron' - <no NBT>]; [chisel:iron@4 - 'Block of Iron' - <no NBT>]; [chisel:iron@5 - 'Block of Iron' - <no NBT>]; [chisel:iron@6 - 'Block of Iron' - <no NBT>]; [chisel:iron@7 - 'Block of Iron' - <no NBT>]; [chisel:iron@8 - 'Block of Iron' - <no NBT>]; [chisel:iron@9 - 'Block of Iron' - <no NBT>]; [chisel:iron@10 - 'Block of Iron' - <no NBT>]; [chisel:iron@11 - 'Block of Iron' - <no NBT>]; [chisel:iron@12 - 'Block of Iron' - <no NBT>]; [chisel:iron@13 - 'Block of Iron' - <no NBT>]; [chisel:iron@14 - 'Block of Iron' - <no NBT>]; [thaumicbases:oldiron@0 - 'Ancient Iron Block' - <no NBT>]"
"blockIronCompressed","[pneumaticcraft:compressed_iron_block@0 - 'Block of Compressed Iron' - <no NBT>]"
"blockIvoryPsi",""
"blockKalendrite",""
"blockKnightslime","[tconstruct:metal@3 - 'Block of Knightslime' - <no NBT>]"
"blockKyronite","[environmentaltech:kyronite@0 - 'Kyronite' - <no NBT>]; [environmentaltech:kyronite_paver@0 - 'Kyronite Paver' - <no NBT>]; [environmentaltech:kyronite_bricks@0 - 'Kyronite Bricks' - <no NBT>]; [environmentaltech:kyronite_tiles@0 - 'Kyronite Tiles' - <no NBT>]"
"blockLapis","[minecraft:lapis_block@0 - 'Lapis Lazuli Block' - <no NBT>]; [chisel:lapis@0 - 'Lapis Lazuli Block' - <no NBT>]; [chisel:lapis@1 - 'Lapis Lazuli Block' - <no NBT>]; [chisel:lapis@2 - 'Lapis Lazuli Block' - <no NBT>]; [chisel:lapis@3 - 'Lapis Lazuli Block' - <no NBT>]; [chisel:lapis@4 - 'Lapis Lazuli Block' - <no NBT>]; [chisel:lapis@5 - 'Lapis Lazuli Block' - <no NBT>]; [chisel:lapis@6 - 'Lapis Lazuli Block' - <no NBT>]; [chisel:lapis@7 - 'Lapis Lazuli Block' - <no NBT>]; [chisel:lapis@8 - 'Lapis Lazuli Block' - <no NBT>]; [thaumicbases:oldlapis@0 - 'Ancient Lapis Lazuli Block' - <no NBT>]"
"blockLapisElven",""
"blockLapisMana",""
"blockLead","[thermalfoundation:storage@3 - 'Block of Lead' - <no NBT>]; [chisel:blocklead@0 - 'Block of Lead' - <no NBT>]; [chisel:blocklead@1 - 'Block of Lead' - <no NBT>]; [chisel:blocklead@2 - 'Block of Lead' - <no NBT>]; [chisel:blocklead@3 - 'Block of Lead' - <no NBT>]; [chisel:blocklead@4 - 'Block of Lead' - <no NBT>]; [chisel:blocklead@5 - 'Block of Lead' - <no NBT>]; [chisel:blocklead@6 - 'Block of Lead' - <no NBT>]; [magneticraft:storage_blocks@1 - 'Lead Block' - <no NBT>]"
"blockLemurite",""
"blockLight",""
"blockLitherite","[environmentaltech:litherite@0 - 'Litherite' - <no NBT>]; [environmentaltech:litherite_paver@0 - 'Litherite Paver' - <no NBT>]; [environmentaltech:litherite_bricks@0 - 'Litherite Bricks' - <no NBT>]; [environmentaltech:litherite_tiles@0 - 'Litherite Tiles' - <no NBT>]"
"blockLithium","[nuclearcraft:ingot_block@6 - 'Lithium Block' - <no NBT>]"
"blockLonsdaleite","[environmentaltech:lonsdaleite@0 - 'Lonsdaleite' - <no NBT>]; [environmentaltech:lonsdaleite_paver@0 - 'Lonsdaleite Paver' - <no NBT>]; [environmentaltech:lonsdaleite_bricks@0 - 'Lonsdaleite Bricks' - <no NBT>]; [environmentaltech:lonsdaleite_tiles@0 - 'Lonsdaleite Tiles' - <no NBT>]"
"blockLudicrite","[bigreactors:blockludicrite@0 - 'Ludicrite Block' - <no NBT>]"
"blockLuminessence","[extendedcrafting:storage@1 - 'Block of Luminessence' - <no NBT>]"
"blockLumium","[thermalfoundation:storage_alloy@6 - 'Block of Lumium' - <no NBT>]"
"blockMagma","[minecraft:magma@0 - 'Magma Block' - <no NBT>]"
"blockMagnesium","[nuclearcraft:ingot_block@7 - 'Magnesium Block' - <no NBT>]"
"blockManasteel","[botania:storage@0 - 'Block of Manasteel' - <no NBT>]"
"blockManganese","[nuclearcraft:ingot_block@11 - 'Manganese Block' - <no NBT>]"
"blockManganeseDioxide",""
"blockManyullyn","[tconstruct:metal@2 - 'Block of Manyullyn' - <no NBT>]"
"blockMarble","[astralsorcery:blockmarble@0 - 'Marble' - <no NBT>]; [astralsorcery:blockmarble@1 - 'Marble Bricks' - <no NBT>]; [astralsorcery:blockmarble@2 - 'Marble Pillar' - <no NBT>]; [astralsorcery:blockmarble@3 - 'Marble Arch' - <no NBT>]; [astralsorcery:blockmarble@4 - 'Chiseled Marble' - <no NBT>]; [astralsorcery:blockmarble@5 - 'Engraved Marble' - <no NBT>]; [astralsorcery:blockmarble@6 - 'Runed Marble' - <no NBT>]"
"blockMarshmallow",""
"blockMeatCooked",""
"blockMeatRaw",""
"blockMelodicAlloy","[enderio:block_alloy_endergy@2 - 'Melodic Alloy Block' - <no NBT>]"
"blockMetal","[minecraft:iron_block@0 - 'Block of Iron' - <no NBT>]; [minecraft:gold_block@0 - 'Block of Gold' - <no NBT>]"
"blockMidasium",""
"blockMirion","[plustic:mirionblock@0 - 'Mirion Block' - <no NBT>]"
"blockMithril","[thermalfoundation:storage@8 - 'Block of Mana Infused Metal' - <no NBT>]"
