"Class","Registry name","Ticking?"
"com.infinityraider.agricraft.tiles.TileEntityCrop","agricraft:tile.crop","-"
"com.infinityraider.agricraft.tiles.TileEntityPeripheral","agricraft:tile.peripheral","yes"
"com.infinityraider.agricraft.tiles.analyzer.TileEntitySeedAnalyzer","agricraft:tile.seed_analyzer","yes"
"com.infinityraider.agricraft.tiles.decoration.TileEntityGrate","agricraft:tile.grate","-"
"com.infinityraider.agricraft.tiles.irrigation.TileEntityChannel","agricraft:tile.water_channel_normal","yes"
"com.infinityraider.agricraft.tiles.irrigation.TileEntityChannelFull","agricraft:tile.water_channel_full","yes"
"com.infinityraider.agricraft.tiles.irrigation.TileEntityChannelValve","agricraft:tile.water_channel_valve","yes"
"com.infinityraider.agricraft.tiles.irrigation.TileEntitySprinkler","agricraft:tile.sprinkler","yes"
"com.infinityraider.agricraft.tiles.irrigation.TileEntityTank","agricraft:tile.water_tank","yes"
"com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityController","storagedrawers:controller","-"
"com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityDrawersComp","storagedrawers:compdrawers","-"
"com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityDrawersStandard$Legacy","storagedrawers:basicdrawers","-"
"com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityDrawersStandard$Slot1","storagedrawers:basicdrawers.1","-"
"com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityDrawersStandard$Slot2","storagedrawers:basicdrawers.2","-"
"com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityDrawersStandard$Slot4","storagedrawers:basicdrawers.4","-"
"com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityFramingTable","storagedrawers:framingtable","-"
"com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityKeyButton","storagedrawers:keybutton","-"
"com.jaquadro.minecraft.storagedrawers.block.tile.TileEntitySlave","storagedrawers:controllerslave","-"
"com.jaquadro.minecraft.storagedrawers.block.tile.TileEntityTrim","storagedrawers:trim","-"
"com.kamefrede.rpsideas.tiles.TileCADCase","rpsideas:case","-"
"com.kamefrede.rpsideas.tiles.TileConjuredPulsar","rpsideas:conjured_pulsar_block","yes"
"com.kamefrede.rpsideas.tiles.TileCracklingStar","rpsideas:conjured_star_block","yes"
"com.kamefrede.rpsideas.tiles.TileEthereal","rpsideas:conjured_ethereal_block","yes"
"com.kamefrede.rpsideas.tiles.TilePsiDampener","rpsideas:psi_dampener","-"
"com.kashdeya.tinyprogressions.tiles.TileEntityBlazeCobblegen","tp:blaze_cobblegen_block","yes"
"com.kashdeya.tinyprogressions.tiles.TileEntityCobblegen","tp:cobblegen_block","yes"
"com.kashdeya.tinyprogressions.tiles.TileEntityDiamondCobblegen","tp:diamond_cobblegen_block","yes"
"com.kashdeya.tinyprogressions.tiles.TileEntityEmeraldCobblegen","tp:emerald_cobblegen_block","yes"
"com.kashdeya.tinyprogressions.tiles.TileEntityIronCobblegen","tp:iron_cobblegen_block","yes"
"com.kashdeya.tinyprogressions.tiles.TileEntityOreDoubler","tp:iron_furnace_block","yes"
"com.latmod.mods.tesslocator.block.TileTesslocator","tesslocator:tesslocator","yes"
"com.latmod.mods.xencraft.block.TileXenTable","xencraft:table","-"
"com.lothrazar.cyclicmagic.block.anvil.TileEntityAnvilAuto","minecraft:cyclicmagicblock_anvil_te","yes"
"com.lothrazar.cyclicmagic.block.anvilmagma.TileEntityAnvilMagma","minecraft:cyclicmagicblock_anvil_magma_te","yes"
"com.lothrazar.cyclicmagic.block.anvilvoid.TileEntityVoidAnvil","minecraft:void_anvil_te","yes"
"com.lothrazar.cyclicmagic.block.arrowtarget.TileEntityArrowTarget","minecraft:target_te","yes"
"com.lothrazar.cyclicmagic.block.autouser.TileEntityUser","minecraft:cyclicmagicblock_user_te","yes"
"com.lothrazar.cyclicmagic.block.battery.TileEntityBattery","minecraft:cyclicmagicbattery_te","yes"
"com.lothrazar.cyclicmagic.block.batterycheat.TileEntityBatteryInfinite","minecraft:cyclicmagicbattery_infinite_te","yes"
"com.lothrazar.cyclicmagic.block.beaconempty.TileEntityBeaconPowered","minecraft:beacon_redstone_te","yes"
"com.lothrazar.cyclicmagic.block.beaconpotion.TileEntityBeaconPotion","minecraft:beacon_potion_te","yes"
"com.lothrazar.cyclicmagic.block.builderpattern.TileEntityPatternBuilder","minecraft:builder_pattern_te","yes"
"com.lothrazar.cyclicmagic.block.buildershape.TileEntityStructureBuilder","minecraft:builder_te","yes"
"com.lothrazar.cyclicmagic.block.buildplacer.TileEntityPlacer","minecraft:placer_block_te","yes"
"com.lothrazar.cyclicmagic.block.cable.energy.TileEntityCablePower","minecraft:energy_pipe_te","yes"
"com.lothrazar.cyclicmagic.block.cable.fluid.TileEntityFluidCable","minecraft:fluid_pipe_te","yes"
"com.lothrazar.cyclicmagic.block.cable.item.TileEntityItemCable","minecraft:item_pipe_te","yes"
"com.lothrazar.cyclicmagic.block.cable.multi.TileEntityCableBundle","minecraft:bundled_pipe_te","yes"
"com.lothrazar.cyclicmagic.block.cablepump.energy.TileEntityEnergyPump","minecraft:energy_pump_te","yes"
"com.lothrazar.cyclicmagic.block.cablepump.fluid.TileEntityFluidPump","minecraft:fluid_pump_te","yes"
"com.lothrazar.cyclicmagic.block.cablepump.item.TileEntityItemPump","minecraft:item_pump_te","yes"
"com.lothrazar.cyclicmagic.block.cablewireless.energy.TileCableEnergyWireless","minecraft:cyclicmagiccable_wireless_energy_te","yes"
"com.lothrazar.cyclicmagic.block.cablewireless.fluid.TileCableFluidWireless","minecraft:cyclicmagiccable_wireless_fluid_te","yes"
"com.lothrazar.cyclicmagic.block.cablewireless.item.TileCableContentWireless","minecraft:cyclicmagiccable_wireless_te","yes"
"com.lothrazar.cyclicmagic.block.clockredstone.TileEntityClock","minecraft:clock_te","yes"
"com.lothrazar.cyclicmagic.block.collector.TileEntityVacuum","minecraft:vacuum_block_te","yes"
"com.lothrazar.cyclicmagic.block.controlledminer.TileEntityControlledMiner","minecraft:cyclicmagicminer_smart_te","yes"
"com.lothrazar.cyclicmagic.block.crafter.TileEntityCrafter","minecraft:cyclicmagicauto_crafter_te","yes"
"com.lothrazar.cyclicmagic.block.dehydrator.TileEntityDeHydrator","minecraft:dehydrator_te","yes"
"com.lothrazar.cyclicmagic.block.dice.TileEntityDice","minecraft:dice_te","yes"
"com.lothrazar.cyclicmagic.block.disenchanter.TileEntityDisenchanter","minecraft:cyclicmagicblock_disenchanter_te","yes"
"com.lothrazar.cyclicmagic.block.dropper.TileEntityDropperExact","minecraft:dropper_exact_te","yes"
"com.lothrazar.cyclicmagic.block.enchanter.TileEntityEnchanter","minecraft:cyclicmagicblock_enchanter_te","yes"
"com.lothrazar.cyclicmagic.block.enchantlibrary.ctrl.TileEntityLibraryCtrl","minecraft:cyclicmagiclibrary_ctrl_te","yes"
"com.lothrazar.cyclicmagic.block.enchantlibrary.shelf.TileEntityLibrary","minecraft:cyclicmagiclibrary_te","yes"
"com.lothrazar.cyclicmagic.block.entitydetector.TileEntityDetector","minecraft:cyclicmagicentity_detector_te","yes"
"com.lothrazar.cyclicmagic.block.exppylon.TileEntityXpPylon","minecraft:exp_pylon_te","yes"
"com.lothrazar.cyclicmagic.block.fan.TileEntityFan","minecraft:cyclicmagicfan_te","yes"
"com.lothrazar.cyclicmagic.block.firestarter.TileEntityFireStarter","minecraft:fire_starter_te","yes"
"com.lothrazar.cyclicmagic.block.fishing.TileEntityFishing","minecraft:cyclicmagicblock_fishing_te","yes"
"com.lothrazar.cyclicmagic.block.fluiddrain.TileEntityFluidDrain","minecraft:fluid_drain_te","yes"
"com.lothrazar.cyclicmagic.block.fluidplacer.TileEntityFluidPlacer","minecraft:fluid_placer_te","yes"
"com.lothrazar.cyclicmagic.block.forester.TileEntityForester","minecraft:block_forester_te","yes"
"com.lothrazar.cyclicmagic.block.harvester.TileEntityHarvester","minecraft:harveseter_te","yes"
"com.lothrazar.cyclicmagic.block.hydrator.TileEntityHydrator","minecraft:block_hydrator_te","yes"
"com.lothrazar.cyclicmagic.block.imbue.TileEntityImbue","minecraft:imbuer_te","yes"
"com.lothrazar.cyclicmagic.block.interdiction.TileEntityMagnetAnti","minecraft:magnet_anti_block_te","yes"
"com.lothrazar.cyclicmagic.block.laser.TileEntityLaser","minecraft:laser_te","yes"
"com.lothrazar.cyclicmagic.block.magnetitem.TileEntityMagnet","minecraft:magnet_block_te","yes"
"com.lothrazar.cyclicmagic.block.melter.TileMelter","minecraft:melter_te","yes"
"com.lothrazar.cyclicmagic.block.miner.TileEntityBlockMiner","minecraft:miner_te","yes"
"com.lothrazar.cyclicmagic.block.moondetector.TileEntityMoon","minecraft:moon_sensor_te","yes"
"com.lothrazar.cyclicmagic.block.packager.TileEntityPackager","minecraft:auto_packager_te","yes"
"com.lothrazar.cyclicmagic.block.password.TileEntityPassword","minecraft:password_block_te","yes"
"com.lothrazar.cyclicmagic.block.peat.farm.TileEntityPeatFarm","minecraft:cyclicmagicpeat_farm_te","yes"
"com.lothrazar.cyclicmagic.block.peat.generator.TileEntityPeatGenerator","minecraft:cyclicmagicpeat_generator_te","yes"
"com.lothrazar.cyclicmagic.block.screentarget.TileEntityScreenTarget","minecraft:cyclicmagicscreentarget_te","yes"
"com.lothrazar.cyclicmagic.block.screentype.TileEntityScreen","minecraft:cyclicmagicscreen_te","-"
"com.lothrazar.cyclicmagic.block.solidifier.TileSolidifier","minecraft:solidifier_te","yes"
"com.lothrazar.cyclicmagic.block.sorting.TileEntityItemCableSort","minecraft:item_pipe_sort_te","yes"
"com.lothrazar.cyclicmagic.block.sound.TileEntitySoundPlayer","minecraft:sound_player_te","yes"
"com.lothrazar.cyclicmagic.block.sprinkler.TileSprinkler","minecraft:sprinkler_te","yes"
"com.lothrazar.cyclicmagic.block.tank.TileEntityFluidTank","minecraft:bucketstorage","yes"
"com.lothrazar.cyclicmagic.block.trash.TileEntityTrash","minecraft:cyclicmagictrash_te","yes"
"com.lothrazar.cyclicmagic.block.uncrafter.TileEntityUncrafter","minecraft:uncrafting_block_te","yes"
"com.lothrazar.cyclicmagic.block.vector.TileEntityVector","minecraft:plate_vector_te","-"
"com.lothrazar.cyclicmagic.block.wireless.TileEntityWirelessRec","minecraft:wireless_receiver_te","yes"
"com.lothrazar.cyclicmagic.block.wireless.TileEntityWirelessTr","minecraft:wireless_transmitter_te","yes"
"com.lothrazar.cyclicmagic.block.workbench.TileEntityWorkbench","minecraft:cyclicmagicworkbench_te","-"
"com.meteor.extrabotany.common.block.tile.TileChargePad","extrabotany:chargepad","yes"
"com.meteor.extrabotany.common.block.tile.TileCocoonDesire","extrabotany:cocoondesire","yes"
"com.meteor.extrabotany.common.block.tile.TileLivingrockBarrel","extrabotany:elfjar","yes"
"com.meteor.extrabotany.common.block.tile.TileManaBuffer","extrabotany:manabarrel","yes"
"com.meteor.extrabotany.common.block.tile.TileManaGenerator","extrabotany:managenerator","yes"
"com.meteor.extrabotany.common.block.tile.TileManaLiquefaction","extrabotany:manaliquefaction","yes"
"com.meteor.extrabotany.common.block.tile.TilePedestal","extrabotany:pedestal","yes"
"com.meteor.extrabotany.common.block.tile.TileQuantumManaBuffer","extrabotany:quantummanabuffer","yes"
"com.nekokittygames.thaumictinkerer.common.tileentity.TileEntityDissimulation","thaumictinkerer:dissimulation","-"
"com.nekokittygames.thaumictinkerer.common.tileentity.TileEntityEnchanter","thaumictinkerer:osmotic_enchanter","yes"
"com.nekokittygames.thaumictinkerer.common.tileentity.TileEntityEnchantmentPillar","thaumictinkerer:enchantment_pillar","-"
"com.nekokittygames.thaumictinkerer.common.tileentity.TileEntityExample","thaumictinkerer:example","yes"
"com.nekokittygames.thaumictinkerer.common.tileentity.TileEntityFunnel","thaumictinkerer:funnel","yes"
"com.nekokittygames.thaumictinkerer.common.tileentity.TileEntityItemMagnet","thaumictinkerer:magnet","yes"
"com.nekokittygames.thaumictinkerer.common.tileentity.TileEntityMobMagnet","thaumictinkerer:mob_magnet","yes"
"com.nekokittygames.thaumictinkerer.common.tileentity.TileEntityRepairer","thaumictinkerer:repairer","yes"
"com.nekokittygames.thaumictinkerer.common.tileentity.transvector.TileEntityTransvectorDislocator","thaumictinkerer:transvector_dislocator","yes"
"com.nekokittygames.thaumictinkerer.common.tileentity.transvector.TileEntityTransvectorInterface","thaumictinkerer:transvector_interface","yes"
"com.rcx.mystgears.block.TileEntityEssentiaMotor","mystgears:essentia_motor","yes"
"com.rcx.mystgears.block.TileEntityGearanium","mystgears:gearanium","yes"
"com.rcx.mystgears.block.TileEntityMechanicalBellows","mystgears:bellows_mechanical","yes"
"com.rcx.mystgears.block.TileEntityMechanicalCrafter","mystgears:mechanical_crafter","yes"
"com.rcx.mystgears.block.TileEntityRedstoneDynamo","mystgears:redstone_dynamo","yes"
"com.rcx.mystgears.block.TileEntityVisMotor","mystgears:vis_motor","yes"
"com.rcx.mystgears.block.TileEntityWindupBox","mystgears:windup_box","yes"
"com.rumaruka.tb.common.tiles.TileBraizer","minecraft:tb.brazier","yes"
"com.rumaruka.tb.common.tiles.TileCampfire","minecraft:tb.campfire","yes"
"com.rumaruka.tb.common.tiles.TileOverchanter","minecraft:tb.overchanter","yes"
"com.rumaruka.trm.common.tiles.essentiagenerator.TileEntityAerGenerator","minecraft:tileentityaergenerator","yes"
"com.rumaruka.trm.common.tiles.essentiagenerator.TileEntityAuramGenerator","minecraft:tileentityauramgenerator","yes"
"com.tattyseal.compactstorage.tileentity.TileEntityBarrel","minecraft:tilebarrel","-"
"com.tattyseal.compactstorage.tileentity.TileEntityBarrelFluid","minecraft:tilebarrel_fluid","yes"
"com.tattyseal.compactstorage.tileentity.TileEntityChest","minecraft:tilechest","yes"
"com.tattyseal.compactstorage.tileentity.TileEntityChestBuilder","minecraft:tilechestbuilder","yes"
"com.teamdman.animus.tiles.TileAntimatter","animus:tileantimatter","-"
"com.teamdman.animus.tiles.TileBloodCore","animus:tilebloodcore","yes"
"com.therandomlabs.randomportals.tileentity.TileEntityUpsideDownEndPortal","randomportals:upside_down_end_portal","-"
"com.therandomlabs.randomportals.tileentity.TileEntityVerticalEndPortal","randomportals:vertical_end_portal","-"
"com.valkyrieofnight.et.lunar.m_multiblocks.m_lunar_array.tile.cell.TileLunarCellMica","etlunar:lunar_cell_mica.tile","-"
"com.valkyrieofnight.et.lunar.m_multiblocks.m_lunar_array.tile.cont.TileContLunarT1","etlunar:lunar_cont_1.tile","yes"
"com.valkyrieofnight.et.lunar.m_multiblocks.m_lunar_array.tile.cont.TileContLunarT2","etlunar:lunar_cont_2.tile","yes"
"com.valkyrieofnight.et.lunar.m_multiblocks.m_lunar_array.tile.cont.TileContLunarT3","etlunar:lunar_cont_3.tile","yes"
"com.valkyrieofnight.et.lunar.m_multiblocks.m_lunar_array.tile.cont.TileContLunarT4","etlunar:lunar_cont_4.tile","yes"
"com.valkyrieofnight.et.lunar.m_multiblocks.m_lunar_array.tile.cont.TileContLunarT5","etlunar:lunar_cont_5.tile","yes"
"com.valkyrieofnight.et.lunar.m_multiblocks.m_lunar_array.tile.cont.TileContLunarT6","etlunar:lunar_cont_6.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_components.m_modifiers.tile.TileModifierNull","environmentaltech:modifier_null.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_components.m_modifiers.tile.TileModifierSpeed","environmentaltech:modifier_speed.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_components.m_structureframe.tile.TileStructureFrameT1","environmentaltech:structure_frame_1.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_components.m_structureframe.tile.TileStructureFrameT2","environmentaltech:structure_frame_2.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_components.m_structureframe.tile.TileStructureFrameT3","environmentaltech:structure_frame_3.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_components.m_structureframe.tile.TileStructureFrameT4","environmentaltech:structure_frame_4.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_components.m_structureframe.tile.TileStructureFrameT5","environmentaltech:structure_frame_5.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_components.m_structureframe.tile.TileStructureFrameT6","environmentaltech:structure_frame_6.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_components.m_structurepanel.tile.TileStructurePanel","environmentaltech:structure_panel.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_components.m_structurepanel.tile.TileStructurePanelClear","environmentaltech:structure_panel_clear.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_lightningrod.tile.TileLightningRod","environmentaltech:lightning_rod.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_lightningrod.tile.TileLightningRodInsulated","environmentaltech:lightning_rod_insulated.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_lightningrod.tile.cont.TileContLightningT1","environmentaltech:lightning_cont_1.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_lightningrod.tile.cont.TileContLightningT2","environmentaltech:lightning_cont_2.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_lightningrod.tile.cont.TileContLightningT3","environmentaltech:lightning_cont_3.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_lightningrod.tile.cont.TileContLightningT4","environmentaltech:lightning_cont_4.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_lightningrod.tile.cont.TileContLightningT5","environmentaltech:lightning_cont_5.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_lightningrod.tile.cont.TileContLightningT6","environmentaltech:lightning_cont_6.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.m_personal.tile.PContT1","environmentaltech:nano_cont_personal_1.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.m_personal.tile.PContT2","environmentaltech:nano_cont_personal_2.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.m_personal.tile.PContT3","environmentaltech:nano_cont_personal_3.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.m_personal.tile.PContT4","environmentaltech:nano_cont_personal_4.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.m_personal.tile.PContT5","environmentaltech:nano_cont_personal_5.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.m_personal.tile.PContT6","environmentaltech:nano_cont_personal_6.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.m_ranged.tile.RContT1","environmentaltech:nano_cont_ranged_1.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.m_ranged.tile.RContT2","environmentaltech:nano_cont_ranged_2.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.m_ranged.tile.RContT3","environmentaltech:nano_cont_ranged_3.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.m_ranged.tile.RContT4","environmentaltech:nano_cont_ranged_4.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.m_ranged.tile.RContT5","environmentaltech:nano_cont_ranged_5.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.m_ranged.tile.RContT6","environmentaltech:nano_cont_ranged_6.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.tile.modifier.TileModifierAbsorption","environmentaltech:modifier_absorption.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.tile.modifier.TileModifierCreativeFlight","environmentaltech:modifier_creative_flight.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.tile.modifier.TileModifierFireResistance","environmentaltech:modifier_fire_resistance.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.tile.modifier.TileModifierFlightSpeed","environmentaltech:modifier_flight_speed.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.tile.modifier.TileModifierGlowing","environmentaltech:modifier_glowing.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.tile.modifier.TileModifierHaste","environmentaltech:modifier_haste.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.tile.modifier.TileModifierHealthBoost","environmentaltech:modifier_health_boost.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.tile.modifier.TileModifierInvisibility","environmentaltech:modifier_invisibility.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.tile.modifier.TileModifierJumpBoost","environmentaltech:modifier_jump_boost.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.tile.modifier.TileModifierLuck","environmentaltech:modifier_luck.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.tile.modifier.TileModifierNightVision","environmentaltech:modifier_night_vision.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.tile.modifier.TileModifierRegeneration","environmentaltech:modifier_regeneration.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.tile.modifier.TileModifierResistance","environmentaltech:modifier_resistance.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.tile.modifier.TileModifierSaturation","environmentaltech:modifier_saturation.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.tile.modifier.TileModifierStrength","environmentaltech:modifier_strength.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_nanobot.tile.modifier.TileModifierWaterBreathing","environmentaltech:modifier_water_breathing.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_solar.tile.TileModifierPiezo","environmentaltech:modifier_piezo.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_solar.tile.cell.et.TileSolarCell1Litherite","environmentaltech:solar_cell_litherite.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_solar.tile.cell.et.TileSolarCell2Erodium","environmentaltech:solar_cell_erodium.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_solar.tile.cell.et.TileSolarCell3Kyronite","environmentaltech:solar_cell_kyronite.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_solar.tile.cell.et.TileSolarCell4Pladium","environmentaltech:solar_cell_pladium.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_solar.tile.cell.et.TileSolarCell5Ionite","environmentaltech:solar_cell_ionite.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_solar.tile.cell.et.TileSolarCell6Aethium","environmentaltech:solar_cell_aethium.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_solar.tile.cont.TileContSolarT1","environmentaltech:solar_cont_1.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_solar.tile.cont.TileContSolarT2","environmentaltech:solar_cont_2.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_solar.tile.cont.TileContSolarT3","environmentaltech:solar_cont_3.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_solar.tile.cont.TileContSolarT4","environmentaltech:solar_cont_4.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_solar.tile.cont.TileContSolarT5","environmentaltech:solar_cont_5.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_solar.tile.cont.TileContSolarT6","environmentaltech:solar_cont_6.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_teg.tile.TileThermalCell","environmentaltech:thermal_cell.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.m_botanic.tile.TileContBotanicT1","environmentaltech:void_botanic_miner_cont_1.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.m_botanic.tile.TileContBotanicT2","environmentaltech:void_botanic_miner_cont_2.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.m_botanic.tile.TileContBotanicT3","environmentaltech:void_botanic_miner_cont_3.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.m_botanic.tile.TileContBotanicT4","environmentaltech:void_botanic_miner_cont_4.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.m_botanic.tile.TileContBotanicT5","environmentaltech:void_botanic_miner_cont_5.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.m_botanic.tile.TileContBotanicT6","environmentaltech:void_botanic_miner_cont_6.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.m_ore.tile.TileContOreT1","environmentaltech:void_ore_miner_cont_1.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.m_ore.tile.TileContOreT2","environmentaltech:void_ore_miner_cont_2.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.m_ore.tile.TileContOreT3","environmentaltech:void_ore_miner_cont_3.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.m_ore.tile.TileContOreT4","environmentaltech:void_ore_miner_cont_4.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.m_ore.tile.TileContOreT5","environmentaltech:void_ore_miner_cont_5.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.m_ore.tile.TileContOreT6","environmentaltech:void_ore_miner_cont_6.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.m_res.tile.TileContResT1","environmentaltech:void_res_miner_cont_1.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.m_res.tile.TileContResT2","environmentaltech:void_res_miner_cont_2.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.m_res.tile.TileContResT3","environmentaltech:void_res_miner_cont_3.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.m_res.tile.TileContResT4","environmentaltech:void_res_miner_cont_4.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.m_res.tile.TileContResT5","environmentaltech:void_res_miner_cont_5.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.m_res.tile.TileContResT6","environmentaltech:void_res_miner_cont_6.tile","yes"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.tile.TileLaserCore","environmentaltech:laser_core.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.tile.TileLaserLens","environmentaltech:laser_lens.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.tile.TileModifierAccuracy","environmentaltech:modifier_accuracy.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.tile.lens.TileLaserLensColored","environmentaltech:laser_lens_colored.tile","-"
"com.valkyrieofnight.et.m_multiblocks.m_voidminer.tile.lens.TileLensCrystal","environmentaltech:laser_lens_crystal.tile","-"
"com.wiresegal.naturalpledge.common.block.BlockCorporeaResonator$TileCorporeaResonator","naturalpledge:resonator","-"
"com.wiresegal.naturalpledge.common.block.BlockEnderBind$TileEnderBind","naturalpledge:actuator","-"
"com.wiresegal.naturalpledge.common.block.BlockGayBeacon$TileGayBeacon","naturalpledge:gay","yes"
"com.wiresegal.naturalpledge.common.block.tile.TileCracklingStar","naturalpledge:cracklingstar","yes"
"com.wiresegal.naturalpledge.common.block.tile.TileLivingwoodFunnel","naturalpledge:funnel","yes"
"com.wiresegal.naturalpledge.common.block.tile.TilePrismFlame","naturalpledge:prismflame","yes"
"com.wiresegal.naturalpledge.common.block.tile.TileStar","naturalpledge:star","-"
"com.zeitheron.botanicadds.blocks.tiles.TileDreamingPool","botanicadds:tiledreamingpool","yes"
"com.zeitheron.botanicadds.blocks.tiles.TileElvenAltar","botanicadds:tileelvenaltar","yes"
"com.zeitheron.botanicadds.blocks.tiles.TileGaiaPlate","botanicadds:tilegaiaplate","yes"
"com.zeitheron.botanicadds.blocks.tiles.TileManaTesseract","botanicadds:tilemanatesseract","yes"
"com.zeitheron.hammercore.internal.blocks.multipart.TileMultipart","hammercore:tilemultipart","yes"
"com.zeitheron.hammercore.tile.TileLyingItem","hammercore:tilelyingitem","-"
