"ID","Name","Description","Parent"
"extrabotany:main/manalinkiumuse","[Crystalline]","Bind a Mana Pool to the Manalinkium","extrabotany:main/posbindercraft"
"extrabotany:main/manareadercraft","[Satisfaction]","Craft a Mana Reader","extrabotany:main/newknowledgeunlock"
"extrabotany:main/mastermanaringcraft","[COLOR]","Obtain Master Band of Mana","extrabotany:main/gaiadefeat"
"extrabotany:main/mastermanaringfill","[Fairytale]","Fill it to WIN the game","extrabotany:main/mastermanaringcraft"
"extrabotany:main/musicall","[Senbonzakura]","Patient Listener","extrabotany:main/gaiadefeat"
"extrabotany:main/natureorbcraft","[Single floor]","Craft a Nature Orb","extrabotany:main/newknowledgeunlock"
"extrabotany:main/newknowledgeunlock","[Unlock New Knowledge]","Hold a Lexicon and right-click a Livingrock Pedestal with a Spirit Fuel in it","extrabotany:main/nightmarefueleating"
"extrabotany:main/nightmarefueleating","[Deep Dark Fantasy]","Eat a Nightmare Fuel.(Unbelievable)","extrabotany:main/root"
"extrabotany:main/onepunchman","[One Punch]","Cast an aura fire that deals over 40 damages.","extrabotany:main/jingweifeatherget"
"extrabotany:main/pedestalcraft","[CONNECT]","Craft a Livingrock Pedestal","extrabotany:main/newknowledgeunlock"
"extrabotany:main/posbindercraft","[Letter Song]","Craft a Position Reader","extrabotany:main/newknowledgeunlock"
"extrabotany:main/ringset","[Rings, Rings, and More Rings]","Collect most kinds of the rings.","extrabotany:main/newknowledgeunlock"
"extrabotany:main/root","[ExtraBotany]","Welcome to the World of the supreme principle of Mana","-"
"extrabotany:main/spearsubspacecraft","[Nightglow]","Obtain Spear of Subspace","extrabotany:main/gaiadefeat"
"extrabotany:main/stardustlotusteleport","[Promise]","Use a Stardust Lotus to teleport yourself","extrabotany:main/posbindercraft"
"extrabotany:main/tinkleuse","[Project Diva Desu]","Dance around a Tinkle Flower","extrabotany:main/newknowledgeunlock"
"extrabotany:main/ultimatehammercraft","[PONPONPON]","Craft an Ultimate Hammer","extrabotany:main/pedestalcraft"
"extrabotany:main/ultimatehammerupgrade","[Front Lovers]","Use a Gilded Mashed Potato to upgrade your Ultimate Hammer","extrabotany:main/ultimatehammercraft"
"immersiveengineering:main/connect_wire","[Birds on a Wire]","Attach a wire","immersiveengineering:main/root"
"immersiveengineering:main/craft_chemthrower","[Spray and Pray]","Craft the Chemical Thrower","immersiveengineering:main/craft_workbench"
"immersiveengineering:main/craft_drill","[Power Pick]","Craft the Mining Drill","immersiveengineering:main/craft_workbench"
"immersiveengineering:main/craft_hammer","[HAMMAH!]","Craft an Engineer's Hammer","immersiveengineering:main/root"
"immersiveengineering:main/craft_heater","[Spread the warmth]","Craft an External Heater","immersiveengineering:main/connect_wire"
"immersiveengineering:main/craft_pump","[Under Pressure]","Craft a Fluid Pump","immersiveengineering:main/connect_wire"
"immersiveengineering:main/craft_railgun","[Fortune's Legacy]","Craft the Railgun","immersiveengineering:main/craft_workbench"
"immersiveengineering:main/craft_revolver","[Make my day]","Craft the Revolver","immersiveengineering:main/craft_workbench"
"immersiveengineering:main/craft_skyhook","[Booker, catch!]","Craft the Engineer's Skyhook","immersiveengineering:main/craft_workbench"
"immersiveengineering:main/craft_wolfpack","[Beauty in Destruction]","Craft a Wolfpack Cartridge","immersiveengineering:main/craft_revolver"
"immersiveengineering:main/craft_workbench","[Time to Tinker]","Craft an Engineer's Workbench","immersiveengineering:main/root"
"immersiveengineering:main/make_steel","[The Upgrade]","Create a Steel Ingot","immersiveengineering:main/multiblock_blastfurnace"
"immersiveengineering:main/multiblock_arcfurnace","[The Hottest Topic]","Form the Arc Furnace Multiblock","immersiveengineering:main/make_steel"
"immersiveengineering:main/multiblock_blastfurnace","[Really Hot Topic]","Create a Blast Furnace","immersiveengineering:main/craft_hammer"
"immersiveengineering:main/multiblock_crusher","[Hazardous Machinery]","Form the Crusher Multiblock","immersiveengineering:main/make_steel"
"immersiveengineering:main/multiblock_dieselgenerator","[Bad for the Environment]","Form the Diesel Generator Multiblock","immersiveengineering:main/make_steel"
"immersiveengineering:main/multiblock_excavator","[Diggy Diggy Hole]","Form the Excavator Multiblock","immersiveengineering:main/make_steel"
"immersiveengineering:main/multiblock_improvedblastfurnace","[Next Level Blasting]","Form the Improved Blast Furnace","immersiveengineering:main/make_steel"
"immersiveengineering:main/multiblock_metalpress","[Pressing matters]","Form the Metal Press","immersiveengineering:main/make_steel"
"immersiveengineering:main/multiblock_silo","[Sheetmetal Stash]","Form the Silo Multiblock","immersiveengineering:main/make_steel"
"immersiveengineering:main/place_conveyor","[Road to nowhere]","Place a Conveyor Belt","immersiveengineering:main/root"
"immersiveengineering:main/place_floodlight","[Aziz! Light!]","Place a Floodlight","immersiveengineering:main/connect_wire"
"immersiveengineering:main/place_windmill","[Windmill for the land]","Place a Windmill","immersiveengineering:main/root"
"immersiveengineering:main/root","[Immersive Engineering]","RTFM!","-"
"immersiveengineering:main/secret_birthdayparty","[Grunt Birthday Party]","Light a match...","immersiveengineering:main/craft_revolver"
"immersiveengineering:main/secret_drillbreak","[GIGA...DRILL...BREAKER!!!]","JUST WHO THE HELL DO YOU THINK I AM?!","immersiveengineering:main/root"
"immersiveengineering:main/secret_luckofthedraw","[Luck of the Draw]","All or nothing","immersiveengineering:main/root"
"immersiveengineering:main/upgrade_drill","[Big Daddy]","Apply the maximum Upgrades to the Mining Drill","immersiveengineering:main/craft_drill"
"immersiveengineering:main/upgrade_revolver","[Shalashaska]","Apply the maximum Upgrades to the Revolver","immersiveengineering:main/craft_revolver"
"integratedcrafting:autocrafting_setup/craft_crafting_interface","[Crafting² Interface]","Craft a Crafting Interface","integratedcrafting:root"
"integratedcrafting:autocrafting_setup/insert_recipe_planks","[Auto-Planking]","Insert the recipe for Oak Planks into a Crafting Interface","integratedcrafting:autocrafting_setup/craft_crafting_interface"
"integratedcrafting:autocrafting_trigger/craft_crafting_writer","[Crafting² Writer]","Craft a Crafting Writer","integratedcrafting:autocrafting_setup/insert_recipe_planks"
"integratedcrafting:autocrafting_trigger/craft_planks","[Effective Auto-Planking]","Use a Crafting Writer to start a crafting job for Oak Planks","integratedcrafting:autocrafting_trigger/craft_crafting_writer"
"integratedcrafting:root","[Integrated Crafting]","Craft stuff in Integrated Dynamics networks.","integrateddynamics:recipe_handling/recipe_creation"
"integrateddynamics:advanced_network_components/variable_materialization","[Variable Materialization]","Materialize a variable in a §lMaterializer§r.","integrateddynamics:logic_operations/arithmetic_addition"
"integrateddynamics:advanced_network_components/variable_proxying","[Variable Proxying]","Create a valid proxy variable in a §lProxy§r.","integrateddynamics:logic_operations/arithmetic_addition"
"integrateddynamics:advanced_operations/item_origin_identification","[Item Origin Identification]","Get the mod name of an Item.","integrateddynamics:logic_operations/logic_programming"
"integrateddynamics:advanced_operations/logical_list_building","[Logical List Building]","Construct a static List with §6Integers§7 1, 10 and 100.","integrateddynamics:logic_operations/logic_programming"
"integrateddynamics:advanced_operations/what_would_i_be_looking_at","[What Would I Be Looking At?]","Get the Block you are looking at.","integrateddynamics:logic_operations/logic_programming"
"integrateddynamics:aspects/redstone_capturing","[Redstone Capturing]","Make a variable card for a redstone §6Integer§7 value.","integrateddynamics:basic_network_components/redstone_reading"
"integrateddynamics:aspects/redstone_observement","[Redstone Observement]","Place an §6Integer§7 variable card in a Display Panel.","integrateddynamics:aspects/redstone_capturing"
"integrateddynamics:aspects/redstone_transmission","[Redstone Transmission]","Let a Redstone Writer write a maximal integer redstone level that was read by a Redstone Reader.","integrateddynamics:aspects/redstone_observement"
"integrateddynamics:basic_network_components/block_reading","[Block Reading]","Craft a Block Reader","integrateddynamics:network_foundations/variable_input"
"integrateddynamics:basic_network_components/inventory_reading","[Inventory Reading]","Craft an Inventory Reader","integrateddynamics:network_foundations/variable_input"
"integrateddynamics:basic_network_components/machine_reading","[Machine Reading]","Craft a Machine Reader","integrateddynamics:network_foundations/variable_input"
"integrateddynamics:basic_network_components/redstone_reading","[Redstone Reading]","Craft a Redstone Reader","integrateddynamics:network_foundations/variable_input"
"integrateddynamics:basic_network_components/value_displaying","[Value Displaying]","Craft a Display Panel","integrateddynamics:network_foundations/variable_output"
"integrateddynamics:challenges/creeper_taming","[Creeper Taming]","Show the HP of a Creeper in a Display Panel","integrateddynamics:advanced_operations/what_would_i_be_looking_at"
"integrateddynamics:challenges/recursive_recursion","[Recursive Recursion]","Create an infinite List, and display it in a Display Panel","integrateddynamics:advanced_operations/what_would_i_be_looking_at"
"integrateddynamics:challenges/smart_pressure_plate","[Smart Pressure Plate]","Create a system that automatically opens a door when you pass by an Entity Reader based on entity name matching, using a Redstone Writer directly pointing to the door.","integrateddynamics:advanced_operations/what_would_i_be_looking_at"
"integrateddynamics:challenges/sponge_step_sound","[Sponge Step Sound]","Play the step sound of a wet Sponge block","integrateddynamics:advanced_operations/what_would_i_be_looking_at"
"integrateddynamics:challenges/tool_for_obsidian","[Tools for Obsidian?]","Check if a Stone Pickaxe can break an Obsidian block, and show the result in a Display Panel.","integrateddynamics:advanced_operations/what_would_i_be_looking_at"
"integrateddynamics:logic_operations/arithmetic_addition","[Arithmetic Addition]","Add two §eNumbers§7 and display the result.","integrateddynamics:logic_operations/constant_definition"
"integrateddynamics:logic_operations/constant_definition","[Constant Definition]","Define a constant §6Integer§7 Variable Card.","integrateddynamics:logic_operations/logic_programming"
"integrateddynamics:logic_operations/logic_programming","[Logic Programming]","Open a Logic Programmer's GUI","integrateddynamics:network_foundations/variables"
"integrateddynamics:meneglin_basics/drying","[Drying like a boss]","Craft a Drying Basin.","integrateddynamics:meneglin_basics/squeezing"
"integrateddynamics:meneglin_basics/meneglin_discovery","[Meneglin Discovery]","Chop down a Menril tree, which can most easily be found in Meneglin biomes.","integrateddynamics:root"
"integrateddynamics:meneglin_basics/menril_production","[Menril Production]","Process Menril Wood into Menril Resin and dry it to obtain Crystalized Menril Resin.","integrateddynamics:meneglin_basics/squeezing"
"integrateddynamics:meneglin_basics/squeezing","[Squeezing like a boss]","Craft a Squeezer.","integrateddynamics:meneglin_basics/meneglin_discovery"
"integrateddynamics:network_foundations/cables_logic","[Cables, for logic]","Craft a Logic Cable","integrateddynamics:meneglin_basics/menril_production"
"integrateddynamics:network_foundations/menril_wrenching","[Menril Wrenching]","Craft a Wrench","integrateddynamics:meneglin_basics/menril_production"
"integrateddynamics:network_foundations/networks_logic","[Networks, for logic]","Build a logic network with at least 10 connected Logic Cables.","integrateddynamics:network_foundations/cables_logic"
"integrateddynamics:network_foundations/variable_input","[Variable Input Transformation]","Craft an Variable Input Transformer","integrateddynamics:network_foundations/variables"
"integrateddynamics:network_foundations/variable_output","[Variable Output Transformation]","Craft Variable Output Transformer","integrateddynamics:network_foundations/variables"
"integrateddynamics:network_foundations/variables","[Variables, For Values]","Craft a Variable Card","integrateddynamics:meneglin_basics/menril_production"
"integrateddynamics:recipe_handling/recipe_creation","[Recipe Creation]","Visually create a §8Recipe§7 using the Logic Programmer.","integrateddynamics:recipe_handling/recipe_reading"
"integrateddynamics:recipe_handling/recipe_lookup","[Recipe Lookup]","Dynamically lookup the recipe of a Chest using a Machine Reader.","integrateddynamics:recipe_handling/recipe_creation"
"integrateddynamics:recipe_handling/recipe_reading","[Recipe Reading]","Read the list of recipes from a machine (like the Crafting Table) using a Machine Reader.","integrateddynamics:basic_network_components/machine_reading"
"integrateddynamics:root","[Integrated Dynamics]","Take full and automated control of your appliances.","-"
"integrateddynamics:the_value_of_operators/dynamic_additions","[Dynamic Additions]","Invoke the addition Operator dynamically","integrateddynamics:logic_operations/logic_programming"
"integrateddynamics:the_value_of_operators/dynamic_list_filtering","[Dynamic List Filtering]","Filter an Integer list 1, 10 and 100 to 10.","integrateddynamics:logic_operations/logic_programming"
"integratedterminals:root","[Integrated Terminals]","Terminals for managing and overviewing Integrated Dynamics networks.","integrateddynamics:basic_network_components/value_displaying"
"integratedterminals:storage_terminal/craft_storage_terminal","[The creation of the Storage Terminal]","Craft a Storage Terminal","integratedterminals:storage_terminal/menril_glass"
"integratedterminals:storage_terminal/gui_storage_terminal","[GUI Simulator 9000]","Open the gui of a Storage Terminal","integratedterminals:storage_terminal/craft_storage_terminal"
"integratedterminals:storage_terminal/menril_glass","[The Glass of Illumination]","Dry Menril Resin onto Glass to obtain Menril Glass.","integratedterminals:root"
"integratedterminals:storage_terminal_filtering/filter_enchantable","[Dynamic Storage Terminal Filtering]","Dynamically filter enchantable items in the Storage Terminal using a Variable","integratedterminals:storage_terminal/gui_storage_terminal"
"integratedtunnels:break_stone/break_stone","[Break Stone]","Break Stone blocks using a World Block Importer","integratedtunnels:world_importer_exporter/importer_item"
"integratedtunnels:click_sword/click_sword","[Click with a Diamond Sword]","Click with a Diamond Sword using a Player Simulator","integratedtunnels:click_sword/player_simulator"
"integratedtunnels:click_sword/player_simulator","[Player Simulation]","Craft a Player Simulator","integratedtunnels:interfaces/interface_item"
"integratedtunnels:drop_all_items/drop_all_items","[Omni Item Dropping]","Drop all items using a World Item Exporter","integratedtunnels:world_importer_exporter/exporter_item"
"integratedtunnels:export_enchantable_items/export_enchantable_items","[Export Enchantable Items]","Use the Enchantable Operator to export all enchantable items into an inventory using an Item Exporter","integratedtunnels:importer_exporter/exporter_item"
"integratedtunnels:export_items_limit/export_items_limit","[Limited Item Exporting]","Export items into an inventory until 10 items are in that inventory using an Item Exporter","integratedtunnels:importer_exporter/exporter_item"
"integratedtunnels:import_all_items/import_all_items","[Omni Item Importing]","Import all items using an Item Importer","integratedtunnels:importer_exporter/importer_item"
"integratedtunnels:import_items_list/import_items_list","[List-based Item Importing]","Import all items from a list into an inventory using an Item Importer","integratedtunnels:importer_exporter/importer_item"
"integratedtunnels:importer_exporter/exporter_item","[Advanced Item Exporting]","Craft an Item Exporter","integratedtunnels:interfaces/interface_item"
"integratedtunnels:importer_exporter/importer_item","[Advanced Item Importing]","Craft an Item Importer","integratedtunnels:interfaces/interface_item"
"integratedtunnels:interfaces/interface_energy","[Energy Interfacing]","Craft an Energy Interface","integratedtunnels:root"
"integratedtunnels:interfaces/interface_fluid","[Fluid Interfacing]","Craft a Fluid Interface","integratedtunnels:root"
"integratedtunnels:interfaces/interface_item","[Item Interfacing]","Craft an Item Interface","integratedtunnels:root"
"integratedtunnels:pickup_items_limit/pickup_items_limit","[Limited Item Pickup]","Pick up 5 items at a time using a World Item Importer","integratedtunnels:world_importer_exporter/importer_item"
"integratedtunnels:place_logwood/place_logwood","[Place Logs]","Place any log using a World Block Exporter by using the 'logWood' ore dictionary list","integratedtunnels:world_importer_exporter/exporter_item"
"integratedtunnels:root","[Integrated Tunnels]","Transfer other stuff over Integrated Dynamics networks.","integrateddynamics:network_foundations/variables"
"integratedtunnels:world_importer_exporter/exporter_block","[Advanced Block World Exporting]","Craft a World Block Exporter","integratedtunnels:importer_exporter/exporter_item"
"integratedtunnels:world_importer_exporter/exporter_item","[Advanced Item World Exporting]","Craft a World Item Exporter","integratedtunnels:importer_exporter/exporter_item"
"integratedtunnels:world_importer_exporter/importer_block","[Advanced Block World Importing]","Craft a World Block Importer","integratedtunnels:importer_exporter/importer_item"
"integratedtunnels:world_importer_exporter/importer_item","[Advanced Item World Importing]","Craft a World Item Importer","integratedtunnels:importer_exporter/importer_item"
"minecraft:adventure/adventuring_time","[Adventuring Time]","Discover every biome","minecraft:adventure/sleep_in_bed"
"minecraft:adventure/kill_a_mob","[Monster Hunter]","Kill any hostile monster","minecraft:adventure/root"
"minecraft:adventure/kill_all_mobs","[Monsters Hunted]","Kill one of every hostile monster","minecraft:adventure/kill_a_mob"
"minecraft:adventure/root","[Adventure]","Adventure, exploration and combat","-"
"minecraft:adventure/shoot_arrow","[Take Aim]","Shoot something with a bow and arrow","minecraft:adventure/kill_a_mob"
"minecraft:adventure/sleep_in_bed","[Sweet dreams]","Change your respawn point","minecraft:adventure/root"
"minecraft:adventure/sniper_duel","[Sniper duel]","Kill a skeleton with an arrow from more than 50 meters","minecraft:adventure/shoot_arrow"
"minecraft:adventure/summon_iron_golem","[Hired Help]","Summon an Iron Golem to help defend a village","minecraft:adventure/trade"
"minecraft:adventure/totem_of_undying","[Postmortal]","Use a Totem of Undying to cheat death","minecraft:adventure/kill_a_mob"
"minecraft:adventure/trade","[What a Deal!]","Successfully trade with a Villager","minecraft:adventure/root"
"minecraft:end/dragon_breath","[You Need a Mint]","Collect dragon's breath in a glass bottle","minecraft:end/kill_dragon"
"minecraft:end/dragon_egg","[The Next Generation]","Hold the Dragon Egg","minecraft:end/kill_dragon"
"minecraft:end/elytra","[Sky's the Limit]","Find an Elytra","minecraft:end/find_end_city"
"minecraft:end/enter_end_gateway","[Remote Getaway]","Escape the island","minecraft:end/kill_dragon"
"minecraft:end/find_end_city","[The City at the End of the Game]","Go on in, what could happen?","minecraft:end/enter_end_gateway"
"minecraft:end/kill_dragon","[Free the End]","Good luck","minecraft:end/root"
"minecraft:end/levitate","[Great View From Up Here]","Levitate up 50 blocks from the attacks of a Shulker","minecraft:end/find_end_city"
"minecraft:end/respawn_dragon","[The End... Again...]","Respawn the ender dragon","minecraft:end/kill_dragon"
"minecraft:end/root","[The End]","Or the beginning?","-"
"minecraft:husbandry/balanced_diet","[A Balanced Diet]","Eat everything that is edible, even if it's not good for you","minecraft:husbandry/plant_seed"
"minecraft:husbandry/break_diamond_hoe","[Serious Dedication]","Completely use up a diamond hoe, and then reevaluate your life choices","minecraft:husbandry/plant_seed"
"minecraft:husbandry/bred_all_animals","[Two by Two]","Breed all the animals!","minecraft:husbandry/breed_an_animal"
"minecraft:husbandry/breed_an_animal","[The Parrots and the Bats]","Breed two animals together","minecraft:husbandry/root"
"minecraft:husbandry/plant_seed","[A Seedy Place]","Plant a seed and watch it grow","minecraft:husbandry/root"
"minecraft:husbandry/root","[Husbandry]","The world is full of friends and food","-"
"minecraft:husbandry/tame_an_animal","[Best Friends Forever]","Tame an animal","minecraft:husbandry/root"
"minecraft:nether/all_effects","[How Did We Get Here?]","Have every effect applied at the same time","minecraft:nether/all_potions"
"minecraft:nether/all_potions","[A Furious Cocktail]","Have every potion effect applied at the same time","minecraft:nether/brew_potion"
"minecraft:nether/brew_potion","[Local Brewery]","Brew a potion","minecraft:nether/obtain_blaze_rod"
"minecraft:nether/create_beacon","[Bring Home the Beacon]","Construct and place a Beacon","minecraft:nether/summon_wither"
"minecraft:nether/create_full_beacon","[Beaconator]","Bring a beacon to full power","minecraft:nether/create_beacon"
"minecraft:nether/fast_travel","[Subspace Bubble]","Use the Nether to travel 7km in the Overworld","minecraft:nether/root"
"minecraft:nether/find_fortress","[A Terrible Fortress]","Break your way into a Nether Fortress","minecraft:nether/root"
"minecraft:nether/get_wither_skull","[Spooky Scary Skeleton]","Obtain a wither skeleton's skull","minecraft:nether/find_fortress"
"minecraft:nether/obtain_blaze_rod","[Into Fire]","Relieve a Blaze of its rod","minecraft:nether/find_fortress"
"minecraft:nether/return_to_sender","[Return to Sender]","Destroy a Ghast with a fireball","minecraft:nether/root"
"minecraft:nether/root","[Nether]","Bring summer clothes","-"
"minecraft:nether/summon_wither","[Withering Heights]","Summon the Wither","minecraft:nether/get_wither_skull"
"minecraft:nether/uneasy_alliance","[Uneasy Alliance]","Rescue a Ghast from the Nether, bring it safely home to the Overworld... and then kill it.","minecraft:nether/return_to_sender"
"minecraft:recipes/brewing/blaze_powder","minecraft:recipes/brewing/blaze_powder","<null>","minecraft:recipes/root"
"minecraft:recipes/brewing/brewing_stand","minecraft:recipes/brewing/brewing_stand","<null>","minecraft:recipes/root"
"minecraft:recipes/brewing/cauldron","minecraft:recipes/brewing/cauldron","<null>","minecraft:recipes/root"
"minecraft:recipes/brewing/fermented_spider_eye","minecraft:recipes/brewing/fermented_spider_eye","<null>","minecraft:recipes/root"
"minecraft:recipes/brewing/glass_bottle","minecraft:recipes/brewing/glass_bottle","<null>","minecraft:recipes/root"
"minecraft:recipes/brewing/golden_carrot","minecraft:recipes/brewing/golden_carrot","<null>","minecraft:recipes/root"
"minecraft:recipes/brewing/magma_cream","minecraft:recipes/brewing/magma_cream","<null>","minecraft:recipes/root"
"minecraft:recipes/brewing/speckled_melon","minecraft:recipes/brewing/speckled_melon","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/acacia_planks","minecraft:recipes/building_blocks/acacia_planks","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/acacia_stairs","minecraft:recipes/building_blocks/acacia_stairs","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/acacia_wooden_slab","minecraft:recipes/building_blocks/acacia_wooden_slab","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/andesite","minecraft:recipes/building_blocks/andesite","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/birch_planks","minecraft:recipes/building_blocks/birch_planks","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/birch_stairs","minecraft:recipes/building_blocks/birch_stairs","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/birch_wooden_slab","minecraft:recipes/building_blocks/birch_wooden_slab","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/black_concrete_powder","minecraft:recipes/building_blocks/black_concrete_powder","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/black_stained_glass","minecraft:recipes/building_blocks/black_stained_glass","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/black_stained_hardened_clay","minecraft:recipes/building_blocks/black_stained_hardened_clay","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/black_wool","minecraft:recipes/building_blocks/black_wool","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/blue_concrete_powder","minecraft:recipes/building_blocks/blue_concrete_powder","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/blue_stained_glass","minecraft:recipes/building_blocks/blue_stained_glass","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/blue_stained_hardened_clay","minecraft:recipes/building_blocks/blue_stained_hardened_clay","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/blue_wool","minecraft:recipes/building_blocks/blue_wool","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/bone_block","minecraft:recipes/building_blocks/bone_block","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/bookshelf","minecraft:recipes/building_blocks/bookshelf","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/brick_block","minecraft:recipes/building_blocks/brick_block","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/brick_slab","minecraft:recipes/building_blocks/brick_slab","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/brick_stairs","minecraft:recipes/building_blocks/brick_stairs","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/brown_concrete_powder","minecraft:recipes/building_blocks/brown_concrete_powder","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/brown_stained_glass","minecraft:recipes/building_blocks/brown_stained_glass","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/brown_stained_hardened_clay","minecraft:recipes/building_blocks/brown_stained_hardened_clay","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/brown_wool","minecraft:recipes/building_blocks/brown_wool","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/chiseled_quartz_block","minecraft:recipes/building_blocks/chiseled_quartz_block","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/chiseled_red_sandstone","minecraft:recipes/building_blocks/chiseled_red_sandstone","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/chiseled_sandstone","minecraft:recipes/building_blocks/chiseled_sandstone","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/chiseled_stonebrick","minecraft:recipes/building_blocks/chiseled_stonebrick","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/clay","minecraft:recipes/building_blocks/clay","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/coal_block","minecraft:recipes/building_blocks/coal_block","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/coarse_dirt","minecraft:recipes/building_blocks/coarse_dirt","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/cobblestone_slab","minecraft:recipes/building_blocks/cobblestone_slab","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/cyan_concrete_powder","minecraft:recipes/building_blocks/cyan_concrete_powder","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/cyan_stained_glass","minecraft:recipes/building_blocks/cyan_stained_glass","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/cyan_stained_hardened_clay","minecraft:recipes/building_blocks/cyan_stained_hardened_clay","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/cyan_wool","minecraft:recipes/building_blocks/cyan_wool","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/dark_oak_planks","minecraft:recipes/building_blocks/dark_oak_planks","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/dark_oak_stairs","minecraft:recipes/building_blocks/dark_oak_stairs","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/dark_oak_wooden_slab","minecraft:recipes/building_blocks/dark_oak_wooden_slab","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/dark_prismarine","minecraft:recipes/building_blocks/dark_prismarine","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/diamond_block","minecraft:recipes/building_blocks/diamond_block","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/diorite","minecraft:recipes/building_blocks/diorite","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/emerald_block","minecraft:recipes/building_blocks/emerald_block","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/end_bricks","minecraft:recipes/building_blocks/end_bricks","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/glowstone","minecraft:recipes/building_blocks/glowstone","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/gold_block","minecraft:recipes/building_blocks/gold_block","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/granite","minecraft:recipes/building_blocks/granite","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/gray_concrete_powder","minecraft:recipes/building_blocks/gray_concrete_powder","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/gray_stained_glass","minecraft:recipes/building_blocks/gray_stained_glass","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/gray_stained_hardened_clay","minecraft:recipes/building_blocks/gray_stained_hardened_clay","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/gray_wool","minecraft:recipes/building_blocks/gray_wool","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/green_concrete_powder","minecraft:recipes/building_blocks/green_concrete_powder","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/green_stained_glass","minecraft:recipes/building_blocks/green_stained_glass","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/green_stained_hardened_clay","minecraft:recipes/building_blocks/green_stained_hardened_clay","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/green_wool","minecraft:recipes/building_blocks/green_wool","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/hay_block","minecraft:recipes/building_blocks/hay_block","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/iron_block","minecraft:recipes/building_blocks/iron_block","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/jungle_planks","minecraft:recipes/building_blocks/jungle_planks","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/jungle_stairs","minecraft:recipes/building_blocks/jungle_stairs","<null>","minecraft:recipes/root"
"minecraft:recipes/building_blocks/jungle_wooden_slab","minecraft:recipes/building_blocks/jungle_wooden_slab","<null>","minecraft:recipes/root"
