+----------------------------------+--------------------------------------------------------+-------------------------------+--------+
| Mod name                         | Registry name                                          | Entity class name             |     ID |
| Random Things                    | randomthings:projecteditem                             | EntityProjectedItem           |      4 |
| Random Things                    | randomthings:revivecircle                              | EntityReviveCircle            |      1 |
| Random Things                    | randomthings:spectreilluminator                        | EntitySpectreIlluminator      |     12 |
| Random Things                    | randomthings:spirit                                    | EntitySpirit                  |      2 |
| Random Things                    | randomthings:thrownweatheregg                          | EntityThrownWeatherEgg        |      9 |
| Random Things                    | randomthings:timeaccelerator                           | EntityTimeAccelerator         |     11 |
| Random Things                    | randomthings:weathercloud                              | EntityWeatherCloud            |     10 |
| Redstone Arsenal                 | redstonearsenal:flux_arrow                             | EntityArrowFlux               |      0 |
| Reliquary                        | xreliquary:blaze_shot                                  | EntityBlazeShot               |      5 |
| Reliquary                        | xreliquary:buster_shot                                 | EntityBusterShot              |      8 |
| Reliquary                        | xreliquary:concussive_shot                             | EntityConcussiveShot          |      7 |
| Reliquary                        | xreliquary:ender_shot                                  | EntityEnderShot               |      6 |
| Reliquary                        | xreliquary:ender_staff_projectile                      | EntityEnderStaffProjectile    |     23 |
| Reliquary                        | xreliquary:exorcism_shot                               | EntityExorcismShot            |      4 |
| Reliquary                        | xreliquary:hand_grenade                                | EntityHolyHandGrenade         |      0 |
| Reliquary                        | xreliquary:holy_water                                  | EntityGlowingWater            |      1 |
| Reliquary                        | xreliquary:kraken_slime                                | EntityKrakenSlime             |     22 |
| Reliquary                        | xreliquary:lyssa_hook                                  | EntityLyssaHook               |     14 |
| Reliquary                        | xreliquary:neutral_shot                                | EntityNeutralShot             |      3 |
| Reliquary                        | xreliquary:sand_shot                                   | EntitySandShot                |     10 |
| Reliquary                        | xreliquary:seeker_shot                                 | EntitySeekerShot              |      9 |
| Reliquary                        | xreliquary:special_snowball                            | EntitySpecialSnowball         |      2 |
| Reliquary                        | xreliquary:storm_shot                                  | EntityStormShot               |     11 |
| Reliquary                        | xreliquary:thrown_aphrodite                            | EntityAttractionPotion        |     12 |
| Reliquary                        | xreliquary:thrown_fertility                            | EntityFertilePotion           |     21 |
| Reliquary                        | xreliquary:thrown_potion                               | EntityThrownXRPotion          |     13 |
| Reliquary                        | xreliquary:tipped arrow                                | EntityXRTippedArrow           |     24 |
| Soot                             | soot:cloud                                             | EntityCustomCloud             |      3 |
| Soot                             | soot:firecloud                                         | EntityFireCloud               |      0 |
| Soot                             | soot:muse                                              | EntityMuse                    |      2 |
| Soot                             | soot:snowpoff                                          | EntitySnowpoff                |      1 |
| Steve's Carts 2                  | stevescarts:cake                                       | EntityCake                    |      3 |
| Steve's Carts 2                  | stevescarts:cart.0                                     | EntityMinecartModular         |      0 |
| Steve's Carts 2                  | stevescarts:egg                                        | EntityEasterEgg               |      2 |
| Tech Reborn                      | techreborn:nuke                                        | EntityNukePrimed              |      0 |
| Thaumcraft                       | thaumcraft:alumentum                                   | EntityAlumentum               |      6 |
| Thaumcraft                       | thaumcraft:arcanebore                                  | EntityArcaneBore              |     18 |
| Thaumcraft                       | thaumcraft:bottletaint                                 | EntityBottleTaint             |      9 |
| Thaumcraft                       | thaumcraft:brainyzombie                                | EntityBrainyZombie            |     24 |
| Thaumcraft                       | thaumcraft:causalitycollapser                          | EntityCausalityCollapser      |     12 |
| Thaumcraft                       | thaumcraft:cultistcleric                               | EntityCultistCleric           |     33 |
| Thaumcraft                       | thaumcraft:cultistknight                               | EntityCultistKnight           |     32 |
| Thaumcraft                       | thaumcraft:cultistleader                               | EntityCultistLeader           |     22 |
| Thaumcraft                       | thaumcraft:cultistportalgreater                        | EntityCultistPortalGreater    |      0 |
| Thaumcraft                       | thaumcraft:cultistportallesser                         | EntityCultistPortalLesser     |      1 |
| Thaumcraft                       | thaumcraft:eldritchcrab                                | EntityEldritchCrab            |     34 |
| Thaumcraft                       | thaumcraft:eldritchgolem                               | EntityEldritchGolem           |     21 |
| Thaumcraft                       | thaumcraft:eldritchguardian                            | EntityEldritchGuardian        |     31 |
| Thaumcraft                       | thaumcraft:eldritchorb                                 | EntityEldritchOrb             |      8 |
| Thaumcraft                       | thaumcraft:eldritchwarden                              | EntityEldritchWarden          |     20 |
| Thaumcraft                       | thaumcraft:fallingtaint                                | EntityFallingTaint            |      5 |
| Thaumcraft                       | thaumcraft:firebat                                     | EntityFireBat                 |     27 |
| Thaumcraft                       | thaumcraft:fluxrift                                    | EntityFluxRift                |      2 |
| Thaumcraft                       | thaumcraft:focuscloud                                  | EntityFocusCloud              |     14 |
| Thaumcraft                       | thaumcraft:focusmine                                   | EntityFocusMine               |     15 |
| Thaumcraft                       | thaumcraft:focusprojectile                             | EntityFocusProjectile         |     13 |
| Thaumcraft                       | thaumcraft:followitem                                  | EntityFollowingItem           |      4 |
| Thaumcraft                       | thaumcraft:giantbrainyzombie                           | EntityGiantBrainyZombie       |     25 |
| Thaumcraft                       | thaumcraft:golem                                       | EntityThaumcraftGolem         |     19 |
| Thaumcraft                       | thaumcraft:golemdart                                   | EntityGolemDart               |      7 |
| Thaumcraft                       | thaumcraft:golemorb                                    | EntityGolemOrb                |     10 |
| Thaumcraft                       | thaumcraft:grapple                                     | EntityGrapple                 |     11 |
| Thaumcraft                       | thaumcraft:inhabitedzombie                             | EntityInhabitedZombie         |     35 |
| Thaumcraft                       | thaumcraft:mindspider                                  | EntityMindSpider              |     30 |
| Thaumcraft                       | thaumcraft:pech                                        | EntityPech                    |     29 |
| Thaumcraft                       | thaumcraft:specialitem                                 | EntitySpecialItem             |      3 |
| Thaumcraft                       | thaumcraft:spellbat                                    | EntitySpellBat                |     28 |
| Thaumcraft                       | thaumcraft:taintacle                                   | EntityTaintacle               |     38 |
| Thaumcraft                       | thaumcraft:taintaclegiant                              | EntityTaintacleGiant          |     23 |
| Thaumcraft                       | thaumcraft:taintacletiny                               | EntityTaintacleSmall          |     39 |
| Thaumcraft                       | thaumcraft:taintcrawler                                | EntityTaintCrawler            |     37 |
| Thaumcraft                       | thaumcraft:taintseed                                   | EntityTaintSeed               |     41 |
| Thaumcraft                       | thaumcraft:taintseedprime                              | EntityTaintSeedPrime          |     42 |
| Thaumcraft                       | thaumcraft:taintswarm                                  | EntityTaintSwarm              |     40 |
| Thaumcraft                       | thaumcraft:thaumslime                                  | EntityThaumicSlime            |     36 |
| Thaumcraft                       | thaumcraft:turretadvanced                              | EntityTurretCrossbowAdvanced  |     17 |
| Thaumcraft                       | thaumcraft:turretbasic                                 | EntityTurretCrossbow          |     16 |
| Thaumcraft                       | thaumcraft:wisp                                        | EntityWisp                    |     26 |
| Thaumic Additions: Reconstructed | thaumadditions:chester                                 | EntityChester                 |      0 |
| Thaumic Augmentation             | thaumicaugmentation:dimensional_fracture               | EntityDimensionalFracture     |      0 |
| Thaumic Gadgets                  | tg:observer                                            | EntityObserver                |    120 |
| Thaumic Periphery                | thaumicperiphery:magic_arrow                           | EntityMagicArrow              |      0 |
| Thermal Dynamics                 | thermaldynamics:transport                              | EntityTransport               |      0 |
| Thermal Expansion                | thermalexpansion:florb                                 | EntityFlorb                   |      0 |
| Thermal Expansion                | thermalexpansion:morb                                  | EntityMorb                    |      1 |
| Thermal Foundation               | thermalfoundation:basalz                               | EntityBasalz                  |      2 |
| Thermal Foundation               | thermalfoundation:basalz_bolt                          | EntityBasalzBolt              |      5 |
| Thermal Foundation               | thermalfoundation:blitz                                | EntityBlitz                   |      1 |
| Thermal Foundation               | thermalfoundation:blitz_bolt                           | EntityBlitzBolt               |      4 |
| Thermal Foundation               | thermalfoundation:blizz                                | EntityBlizz                   |      0 |
| Thermal Foundation               | thermalfoundation:blizz_bolt                           | EntityBlizzBolt               |      3 |
| Tinkers' Construct               | tconstruct:arrow                                       | EntityArrow                   |     10 |
| Tinkers' Construct               | tconstruct:blueslime                                   | EntityBlueSlime               |      1 |
| Tinkers' Construct               | tconstruct:bolt                                        | EntityBolt                    |     11 |
| Tinkers' Construct               | tconstruct:fancy_frame                                 | EntityFancyItemFrame          |      2 |
| Tinkers' Construct               | tconstruct:indestructible                              | IndestructibleEntityItem      |      0 |
| Tinkers' Construct               | tconstruct:shuriken                                    | EntityShuriken                |     12 |
| Tinkers' Construct               | tconstruct:throwball                                   | EntityThrowball               |      3 |
| Yoyos                            | yoyos:yoyo                                             | EntityYoyo                    |      0 |
| Yoyos                            | yoyos:yoyo_chaser                                      | EntityChaserYoyo              |      3 |
| Yoyos                            | yoyos:yoyo_sticky                                      | EntityStickyYoyo              |      1 |
| p455w0rd's Library               | p455w0rdslib:sitting_entity                            | EntitySittableBlock           |      0 |
+----------------------------------+--------------------------------------------------------+-------------------------------+--------+
| Mod name                         | Registry name                                          | Entity class name             |     ID |
+----------------------------------+--------------------------------------------------------+-------------------------------+--------+
